location,item,itemCategory,rank
20017,Yellow Tail Chardonnay,Wine,8
20017,Alamos Malbec,Wine,9
20017,1800 Silver ,Liquor,10
20018,Rascal Pinot Noir,Wine,1
20018,Bota Box Pinot Noir,Wine,2
20018,Not Your Father's Root Beer,Beer,3
20018,21st Amendment Seasonal,Beer,4
20018,Bacardi Superior Rum,Liquor,5
20018,Firesteed Pinot Noir,Wine,6
20018,Miller Lite,Beer,7
20018,Crispin Original Cider,Beer,8
20018,Miller High Life,Beer,9
20018,Leffe Blonde,Beer,10
20020,Fireball Cinnamon Whisky,Liquor,1
20020,Black Box Sauv. Blanc,Wine,2
20020,Absolut Vodka,Liquor,3
20020,Bulleit Bourbon,Liquor,4
20020,Courvoisier Congac VS,Liquor,5
20020,Ciroc Vodka,Liquor,6
20020,Jameson Irish Whiskey,Liquor,7
20020,Apothic Red Blend,Wine,8
20020,Oyster Bay Sauv. Blanc,Wine,9
20020,Grey Goose Vodka,Liquor,10
20024,Tito's Handmade Vodka,Liquor,1
20024,Bacardi Superior Rum,Liquor,2
20024,Miller Lite,Beer,3
20024,Fireball Cinnamon Whisky,Liquor,4
20024,Bulleit Bourbon,Liquor,5
20024,Bud Light,Beer,6
20024,Absolut Vodka,Liquor,7
20024,Veuve Clicquot Brut,Wine,8
20024,Maker's Mark Kentucky Bourbon,Liquor,9
20024,Bulleit Rye,Liquor,10
20036,Cristalino Cava Brut,Wine,1
20036,Svedka Vodka,Liquor,2
20036,Bud Light,Beer,3
20036,Chateau Montaud Rose,Wine,4
20036,Oyster Bay Sauv. Blanc,Wine,5
20036,Stella Artois,Beer,6
20036,Miller Lite,Beer,7
20036,Bota Box Chardonnay,Wine,8
20036,Meiomi Pinot Noir,Wine,9
20036,Cristalino Cava Brut Rose,Wine,10
20037,Stella Artois,Beer,1
20037,Tito's Handmade Vodka,Liquor,2
20037,Corona Extra,Beer,3
20037,Bud Light,Beer,4
20037,Barefoot Chardonnay,Wine,5
20037,Svedka Vodka,Liquor,6
20037,Jameson Irish Whiskey,Liquor,7
20037,Grey Goose Vodka,Liquor,8
20037,Coors Light,Beer,9
20037,Bell's Two Hearted Ale,Beer,10
"Washington, DC",Tito's Handmade Vodka,Liquor,1
"Washington, DC",Miller Lite,Beer,2
"Washington, DC",Svedka Vodka,Liquor,3
"Washington, DC",Bud Light,Beer,4
"Washington, DC",Stella Artois,Beer,5
"Washington, DC",Coors Light,Beer,6
"Washington, DC",La Marca Prosecco,Wine,7
"Washington, DC",Natural Light,Beer,8
"Washington, DC",Oyster Bay Sauv. Blanc,Wine,9
"Washington, DC",Fireball Cinnamon Whisky,Liquor,10
