CLUSTER_TR2000,school_present_2000,school_present_2001,school_present_2002,school_present_2003,school_present_2004,school_present_2005,school_present_2006,school_present_2007,school_present_2008,school_present_2009,school_present_2010,school_present_2011,school_present_2012,school_present_2013,dcps_present_2000,dcps_present_2001,dcps_present_2002,dcps_present_2003,dcps_present_2004,dcps_present_2005,dcps_present_2006,dcps_present_2007,dcps_present_2008,dcps_present_2009,dcps_present_2010,dcps_present_2011,dcps_present_2012,dcps_present_2013,charter_present_2000,charter_present_2001,charter_present_2002,charter_present_2003,charter_present_2004,charter_present_2005,charter_present_2006,charter_present_2007,charter_present_2008,charter_present_2009,charter_present_2010,charter_present_2011,charter_present_2012,charter_present_2013,aud_2001,aud_2002,aud_2003,aud_2004,aud_2005,aud_2006,aud_2007,aud_2008,aud_2009,aud_2010,aud_2011,aud_2012,aud_2013,aud_dcps_2001,aud_dcps_2002,aud_dcps_2003,aud_dcps_2004,aud_dcps_2005,aud_dcps_2006,aud_dcps_2007,aud_dcps_2008,aud_dcps_2009,aud_dcps_2010,aud_dcps_2011,aud_dcps_2012,aud_dcps_2013,aud_charter_2001,aud_charter_2002,aud_charter_2003,aud_charter_2004,aud_charter_2005,aud_charter_2006,aud_charter_2007,aud_charter_2008,aud_charter_2009,aud_charter_2010,aud_charter_2011,aud_charter_2012,aud_charter_2013
Cluster 31,12,12,11,12,13,13,12,12,12,11,11,11,12,11,9,9,9,10,10,10,9,9,8,7,7,7,7,6,3,3,2,2,3,3,3,3,4,4,4,4,5,5,4530,4410,4544,4711,4657,4431,4181,4061,3388,3252,3876,3781,3733,3687,3581,3599,3650,3526,3259,2951,2589,1898,1816,2409,2278,2318,843,829,945,1061,1131,1172,1230,1472,1490,1436,1467,1503,1415
Cluster 32,4,4,4,4,4,4,4,3,5,5,5,5,3,4,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,1087,1142,1176,1144,1068,1009,675,1022,1158,1223,1282,1076,1143,932,917,878,823,744,682,346,418,415,422,485,304,295,155,225,298,321,324,327,329,604,743,801,797,772,848
Cluster 33,6,6,6,7,7,7,5,6,9,11,10,7,8,7,6,6,6,7,7,7,4,5,6,7,7,4,4,3,0,0,0,0,0,0,1,1,3,4,3,3,4,4,2516,2306,2435,2114,1976,1382,1479,1825,2392,2019,1987,2268,2399,2516,2306,2435,2114,1976,1346,1407,1246,1594,1119,955,1041,1054,0,0,0,0,0,36,72,579,798,900,1032,1227,1345
Cluster 34,4,4,4,4,4,5,5,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,1,1,3,1,1,1,1,1,0,1947,1907,1832,1790,2045,1949,2116,1964,1883,1863,1836,1760,1804,1947,1907,1832,1790,1851,1815,1764,1794,1717,1729,1682,1609,1804,0,0,0,0,194,134,352,170,166,134,154,151,0
Cluster 35,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,1476,1445,1364,1238,1121,1046,1032,1052,1095,1072,1050,757,1482,1476,1445,1364,1238,1121,1046,1032,1052,1095,1072,1050,757,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,1142,1068,962,843,759,698,620,645,635,595,636,851,1091,1142,1068,962,843,759,698,620,645,635,595,636,851,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 37,6,8,8,8,8,10,9,10,7,10,9,11,11,10,6,7,7,7,7,8,7,8,4,3,2,2,2,2,0,1,1,1,1,2,2,2,3,7,7,9,9,8,2416,2499,2558,2356,2495,2322,2201,2198,2648,2486,3397,3640,3657,2047,1965,1961,1765,1606,1401,1224,870,814,367,659,722,770,369,534,597,591,889,921,977,1328,1834,2119,2738,2918,2887
Cluster 38,2,2,2,2,2,2,2,2,1,1,1,3,4,4,2,2,2,2,2,2,2,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1048,1141,1132,1056,953,787,500,288,277,255,412,755,846,1048,1141,1132,1056,953,787,500,288,277,255,252,583,674,0,0,0,0,0,0,0,0,0,0,160,172,172
Cluster 39,16,17,17,18,18,19,20,20,22,22,21,20,20,21,15,15,15,16,16,16,15,14,14,13,12,12,11,9,1,2,2,2,2,3,5,6,8,9,9,8,9,12,8169,8044,7572,6955,6793,6709,6924,6933,6825,7166,7226,7441,7884,7464,7282,6722,6081,6014,5943,5803,5453,5127,4929,4851,4143,3999,705,762,850,874,779,766,1121,1480,1698,2237,2375,3298,3885
Non-cluster area,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,216,213,102,133,139,154,182,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,213,102,133,139,154,182,167,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
