GEO2010,forecl_ssl_sf_condo_1995,forecl_ssl_sf_condo_1996,forecl_ssl_sf_condo_1997,forecl_ssl_sf_condo_1998,forecl_ssl_sf_condo_1999,forecl_ssl_sf_condo_2000,forecl_ssl_sf_condo_2001,forecl_ssl_sf_condo_2002,forecl_ssl_sf_condo_2003,forecl_ssl_sf_condo_2004,forecl_ssl_sf_condo_2005,forecl_ssl_sf_condo_2006,forecl_ssl_sf_condo_2007,forecl_ssl_sf_condo_2008,forecl_ssl_sf_condo_2009,forecl_ssl_sf_condo_2010,forecl_ssl_sf_condo_2011,forecl_ssl_sf_condo_2012,forecl_ssl_sf_condo_2013,forecl_ssl_1kpcl_sf_condo_1995,forecl_ssl_1kpcl_sf_condo_1996,forecl_ssl_1kpcl_sf_condo_1997,forecl_ssl_1kpcl_sf_condo_1998,forecl_ssl_1kpcl_sf_condo_1999,forecl_ssl_1kpcl_sf_condo_2000,forecl_ssl_1kpcl_sf_condo_2001,forecl_ssl_1kpcl_sf_condo_2002,forecl_ssl_1kpcl_sf_condo_2003,forecl_ssl_1kpcl_sf_condo_2004,forecl_ssl_1kpcl_sf_condo_2005,forecl_ssl_1kpcl_sf_condo_2006,forecl_ssl_1kpcl_sf_condo_2007,forecl_ssl_1kpcl_sf_condo_2008,forecl_ssl_1kpcl_sf_condo_2009,forecl_ssl_1kpcl_sf_condo_2010,forecl_ssl_1kpcl_sf_condo_2011,forecl_ssl_1kpcl_sf_condo_2012,forecl_ssl_1kpcl_sf_condo_2013,trustee_ssl_sf_condo_1995,trustee_ssl_sf_condo_1996,trustee_ssl_sf_condo_1997,trustee_ssl_sf_condo_1998,trustee_ssl_sf_condo_1999,trustee_ssl_sf_condo_2000,trustee_ssl_sf_condo_2001,trustee_ssl_sf_condo_2002,trustee_ssl_sf_condo_2003,trustee_ssl_sf_condo_2004,trustee_ssl_sf_condo_2005,trustee_ssl_sf_condo_2006,trustee_ssl_sf_condo_2007,trustee_ssl_sf_condo_2008,trustee_ssl_sf_condo_2009,trustee_ssl_sf_condo_2010,trustee_ssl_sf_condo_2011,trustee_ssl_sf_condo_2012,trustee_ssl_sf_condo_2013,trustee_ssl_1kpcl_sf_condo_1995,trustee_ssl_1kpcl_sf_condo_1996,trustee_ssl_1kpcl_sf_condo_1997,trustee_ssl_1kpcl_sf_condo_1998,trustee_ssl_1kpcl_sf_condo_1999,trustee_ssl_1kpcl_sf_condo_2000,trustee_ssl_1kpcl_sf_condo_2001,trustee_ssl_1kpcl_sf_condo_2002,trustee_ssl_1kpcl_sf_condo_2003,trustee_ssl_1kpcl_sf_condo_2004,trustee_ssl_1kpcl_sf_condo_2005,trustee_ssl_1kpcl_sf_condo_2006,trustee_ssl_1kpcl_sf_condo_2007,trustee_ssl_1kpcl_sf_condo_2008,trustee_ssl_1kpcl_sf_condo_2009,trustee_ssl_1kpcl_sf_condo_2010,trustee_ssl_1kpcl_sf_condo_2011,trustee_ssl_1kpcl_sf_condo_2012,trustee_ssl_1kpcl_sf_condo_2013
Tract 55,10,6,9,2,5,3,2,6,4,6,3,11,11,15,23,15,1,0,0,4.8,2.9,4.3,1,2.4,1.4,1,2.9,1.9,2.8,1.4,4.3,4.3,5.9,8.6,5.5,0.4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,3,6,6,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.4,1.6,1.2,2.2,2.2,0.4,0,0
Tract 56,4,5,4,2,3,3,0,2,2,1,3,3,2,0,3,4,0,0,0,3.5,4.3,3.5,1.7,2.6,2.6,0,1.7,1.7,0.8,2.5,2.5,1.7,0,2.5,3.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0.9,0,0,0,0.9,0,0,0,0,0,1.7,0.8,0.8,0.8,0,0,0,0
Tract 58,1,2,3,2,1,0,2,3,3,0,2,3,16,22,29,18,4,0,1,2.2,4.3,6.5,4.3,2.2,0,4.3,6,5.9,0,1.5,2.2,11,15,19,12,2.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,1,3,10,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2,6.7,6,4,0,0.7,0
Tract 59,0,0,0,0,0,0,0,0,0,0,0,1,5,6,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,6.9,7,9.3,6.3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.7,0,1.6,0,0,1.1
Tract 62.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 64,2,3,2,3,9,4,8,5,7,6,2,0,2,8,11,5,0,0,0,13,19,13,19,58,26,52,32,43,32,10,0,10,41,56,25,0,0,0,1,2,1,0,1,1,5,0,1,1,0,0,0,0,1,0,0,1,0,6.5,13,6.5,0,6.5,6.5,32,0,6.1,5.4,0,0,0,0,5.1,0,0,5.1,0
Tract 65,0,3,2,2,0,0,1,1,1,0,1,2,3,5,3,3,0,1,0,0,5.7,3.8,3.8,0,0,1.9,1.9,1.9,0,1.7,3.4,5.1,8.4,5.1,5.1,0,1.7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1.9,0,1.9,0,0,0,0,0,0,0,1.7,0,1.7,1.7,0,0,0
Tract 66,3,6,1,3,1,1,1,1,1,1,1,1,3,1,4,4,0,0,0,6.8,14,2.3,6.8,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,6.6,2.1,8.4,8.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,2.2,4.2,2.1,0,0,0,0
Tract 67,5,8,8,7,7,4,1,4,4,5,4,2,9,8,10,7,0,0,0,5.2,8.4,8.4,7.3,7.3,4.2,1,4,4,4.9,3.9,1.9,8.7,7.7,9.6,6.7,0,0,0,2,3,2,3,0,1,0,0,0,1,1,1,2,5,1,1,0,1,0,2.1,3.1,2.1,3.1,0,1,0,0,0,1,1,1,1.9,4.8,1,1,0,1,0
Tract 68.01,8,8,14,19,18,24,17,19,13,6,6,8,9,27,19,18,0,0,1,14,14,25,33,32,42,30,33,22,10,10,13,14,42,29,28,0,0,1.5,0,10,2,11,9,13,7,2,0,0,0,1,0,9,10,6,4,0,1,0,18,3.5,19,16,23,12,3.5,0,0,0,1.7,0,14,16,9.3,6,0,1.5
Tract 68.02,15,13,15,27,24,24,12,15,10,8,8,3,9,16,22,16,0,0,0,21,19,21,39,34,34,17,21,14,11,11,4.1,12,22,29,21,0,0,0,4,6,6,7,7,12,7,1,0,0,0,0,0,2,4,3,0,0,0,5.7,8.6,8.6,10,10,17,10,1.4,0,0,0,0,0,2.7,5.4,4,0,0,0
Tract 68.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 69,9,11,5,9,10,9,6,8,6,5,5,5,5,4,5,12,0,0,0,14,17,7.7,14,15,14,9.3,12,9.3,7.5,7,7,7,5.4,6.6,16,0,0,0,4,2,4,4,1,2,1,1,0,0,2,0,2,2,0,5,0,0,0,6.2,3.1,6.2,6.2,1.5,3.1,1.5,1.5,0,0,2.8,0,2.8,2.7,0,6.5,0,0,0
Tract 70,5,7,4,7,6,6,2,1,3,2,0,0,2,1,5,4,0,0,0,9.5,13,7.6,13,11,11,3.8,1.9,5.7,3.7,0,0,3.6,1.8,8.9,7.1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1.9,0,0,1.9,1.9,1.9,0,0,0,0,0,1.8,0,0,1.8,0,0,0
Tract 71,8,10,8,13,14,16,14,15,15,3,7,6,9,16,26,12,0,1,0,17,22,17,28,30,34,30,32,32,6.5,15,12,19,22,35,16,0,1.4,0,7,6,5,6,9,6,8,8,0,0,0,0,0,8,5,3,1,0,1,15,13,11,13,19,13,17,17,0,0,0,0,0,11,6.8,4.1,1.4,0,1.4
Tract 72,0,0,2,4,3,1,3,0,0,0,1,0,0,2,3,1,0,0,0,0,0,29,59,44,15,44,0,0,0,13,0,0,11,17,3.7,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,29,15,29,15,0,0,0,0,0,5.7,5.6,3.7,0,0,0
Tract 73.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 73.04,6,6,7,7,5,6,7,8,6,3,5,10,6,17,16,11,1,0,1,18,18,21,21,15,18,21,24,18,9,15,29,17,47,44,30,2.6,0,2.6,2,1,1,4,5,1,1,0,1,0,0,2,0,2,2,6,2,0,0,6,3,3,12,15,3,3,0,3,0,0,5.8,0,5.5,5.5,16,5.1,0,0
Tract 74.01,3,2,2,2,7,8,5,7,4,4,2,4,4,7,16,7,0,0,0,23,15,15,15,53,61,38,53,31,27,13,27,15,27,60,27,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,3,1,6,8,1,0,0,7.6,7.6,7.6,7.6,7.6,7.6,0,0,7.6,6.7,0,0,12,3.8,23,31,3.8,0,0
Tract 74.03,2,2,1,1,5,4,4,7,2,3,2,2,8,5,4,4,0,0,0,14,14,7.2,7.2,36,29,29,50,14,22,14,14,58,36,29,29,0,0,0,0,0,2,0,1,3,1,1,0,0,0,0,0,3,1,2,0,0,0,0,0,14,0,7.2,22,7.2,7.2,0,0,0,0,0,22,7.2,14,0,0,0
Tract 74.04,2,2,2,1,3,4,5,5,4,4,1,2,6,4,17,12,0,0,0,19,19,19,9.6,29,38,48,48,38,35,8.9,3.3,9.9,6.6,28,20,0,0,0,0,1,1,0,0,0,1,2,0,1,1,0,1,0,5,3,5,0,0,0,9.6,9.6,0,0,0,9.6,19,0,8.8,8.9,0,1.6,0,8.2,4.9,8.2,0,0
Tract 74.06,0,0,1,0,1,0,0,0,0,1,2,0,3,2,4,1,0,2,0,0,0,38,0,38,0,0,0,0,9.7,19,0,29,19,39,9.7,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0
Tract 74.07,6,5,8,7,10,7,6,18,12,22,7,9,10,21,26,18,1,0,1,14,11,18,16,23,16,14,39,23,39,12,14,16,33,40,26,1.4,0,1.4,0,0,3,0,2,2,1,3,2,1,1,1,1,3,11,5,2,2,1,0,0,6.8,0,4.6,4.6,2.3,6.5,3.9,1.8,1.6,1.6,1.6,4.7,17,7.1,2.8,2.8,1.4
Tract 74.08,2,0,2,3,4,4,1,4,3,4,2,2,3,8,14,11,0,1,0,22,0,22,32,43,43,11,43,32,43,22,15,23,58,101,80,0,7.3,0,0,1,0,0,0,1,0,0,1,1,0,0,2,0,4,4,0,1,1,0,11,0,0,0,11,0,0,11,11,0,0,15,0,29,29,0,7.3,7.2
Tract 74.09,1,0,4,5,7,7,7,16,13,15,6,8,18,19,26,23,0,0,1,2.7,0,11,14,19,19,19,38,31,35,14,19,42,44,61,54,0,0,2.3,0,0,0,4,2,3,4,3,0,2,1,1,1,4,7,3,2,0,1,0,0,0,11,5.4,8.1,11,7.1,0,4.7,2.3,2.3,2.3,9.4,16,7,4.7,0,2.3
Tract 75.02,1,4,4,7,1,4,5,8,7,4,14,12,5,19,18,18,0,0,1,4,16,16,28,4,16,20,27,24,14,48,29,12,41,38,38,0,0,2.1,0,1,0,2,2,0,1,4,0,1,2,3,1,3,6,3,3,0,0,0,4,0,8.1,8.1,0,4,14,0,3.4,6.8,7.2,2.4,6.4,13,6.4,6.4,0,0
Tract 75.03,14,19,19,17,26,23,11,20,17,11,3,12,15,26,39,27,0,1,1,32,44,44,39,60,53,25,46,39,25,6.7,27,33,53,80,55,0,2.1,2.1,5,3,11,5,6,6,7,5,1,2,0,1,5,7,15,16,6,0,1,11,6.9,25,11,14,14,16,11,2.3,4.5,0,2.2,11,14,31,33,12,0,2.1
Tract 75.04,7,6,8,14,15,9,6,10,16,12,4,3,10,15,20,21,0,0,0,30,25,34,59,63,38,25,34,54,39,13,9,29,42,56,59,0,0,0,1,1,2,2,9,2,3,5,2,1,1,0,4,6,8,9,1,1,0,4.2,4.2,8.4,8.4,38,8.4,13,17,6.8,3.2,3.2,0,12,17,22,25,2.8,2.8,0
Tract 76.01,19,26,33,26,29,35,25,35,23,20,15,14,23,29,35,48,1,0,1,18,24,31,24,27,33,23,33,22,19,14,13,21,27,32,44,0.9,0,0.9,7,6,11,10,16,17,14,15,0,3,0,1,2,7,10,9,9,1,2,6.6,5.6,10,9.4,15,16,13,14,0,2.8,0,0.9,1.9,6.5,9.2,8.3,8.1,0.9,1.8
Tract 76.03,19,24,36,28,26,31,27,19,21,31,15,16,18,40,45,45,6,1,0,14,17,26,20,19,22,19,14,15,22,11,11,13,28,32,32,4.2,0.7,0,3,1,2,4,2,1,1,6,0,1,2,1,4,10,12,17,5,0,1,2.1,0.7,1.4,2.8,1.4,0.7,0.7,4.3,0,0.7,1.4,0.7,2.8,7,8.5,12,3.5,0,0.7
Tract 76.04,10,6,8,7,7,4,14,10,5,4,1,2,7,26,36,24,0,0,0,15,9,12,11,11,6,21,15,7.4,5.9,1.5,2.7,9.3,35,48,31,0,0,0,4,1,4,4,1,2,3,2,1,0,0,0,1,3,7,4,1,1,0,6,1.5,6,6,1.5,3,4.5,3,1.5,0,0,0,1.3,4,9.3,5.2,1.3,1.3,0
Tract 76.05,6,7,9,17,12,13,8,11,10,12,4,7,7,15,21,13,0,0,0,12,14,18,35,24,27,16,22,20,24,7.8,14,13,29,40,25,0,0,0,1,3,0,3,5,2,1,1,1,1,0,0,1,5,7,6,0,1,0,2,6.1,0,6.1,10,4.1,2,2,2,2,0,0,1.9,9.6,13,12,0,1.9,0
Tract 77.03,6,3,7,8,10,8,12,12,15,17,11,8,16,23,29,26,0,0,1,12,6.2,14,16,21,16,25,25,31,27,17,13,24,35,44,40,0,0,1.5,2,1,1,1,5,1,2,0,0,1,0,1,3,9,7,8,3,1,0,4.1,2.1,2.1,2.1,10,2.1,4.1,0,0,1.6,0,1.6,4.6,14,11,12,4.6,1.5,0
Tract 77.07,12,13,17,16,30,29,26,33,30,21,15,19,30,33,43,28,0,0,1,12,13,17,16,30,29,26,33,30,21,15,19,30,32,42,28,0,0,1,1,4,8,7,6,7,7,7,1,2,4,2,3,8,13,6,2,1,2,1,4,8,7,6,7,7,7,1,2,4,2,3,7.9,13,5.9,2,1,1.9
Tract 77.08,5,6,9,6,8,8,5,8,7,8,5,4,6,8,15,9,1,0,0,20,24,36,24,32,32,20,32,28,32,20,16,24,31,58,35,3.9,0,0,2,3,1,2,3,2,1,5,0,1,2,0,1,1,5,1,4,0,0,7.9,12,4,7.9,12,7.9,4,20,0,4,8,0,4,3.9,19,3.9,16,0,0
Tract 77.09,7,9,9,11,5,10,7,8,8,8,6,3,3,6,8,11,0,0,0,21,27,27,33,15,30,21,24,24,24,18,9,9,18,24,33,0,0,0,1,3,5,2,2,5,4,3,0,0,0,0,0,1,0,2,0,0,0,3,9,15,6,6,15,12,9,0,0,0,0,0,3,0,6,0,0,0
Tract 78.03,12,12,24,24,26,21,20,19,20,13,11,15,25,37,47,38,0,0,1,15,15,29,29,32,26,25,23,24,15,13,17,28,41,52,42,0,0,1.1,6,7,6,9,7,7,2,8,1,1,2,0,3,16,25,12,4,1,0,7.4,8.6,7.4,11,8.6,8.6,2.5,9.6,1.2,1.2,2.3,0,3.4,18,28,13,4.4,1.1,0
Tract 78.04,12,10,13,17,21,18,14,16,14,13,6,9,18,25,38,25,0,0,0,20,17,22,29,35,30,24,27,24,22,10,15,29,40,60,40,0,0,0,5,6,4,7,7,10,9,5,1,2,0,0,3,6,9,12,2,0,0,8.4,10,6.7,12,12,17,15,8.4,1.7,3.4,0,0,4.8,9.6,14,19,3.1,0,0
Tract 78.06,7,8,7,11,23,16,12,21,19,11,10,12,15,28,34,28,1,1,0,12,14,12,20,41,29,21,37,34,20,18,21,26,48,58,48,1.7,1.7,0,1,2,3,7,3,10,7,4,1,0,2,1,3,9,11,16,3,1,2,1.8,3.6,5.3,12,5.3,18,12,7.1,1.8,0,3.5,1.7,5.1,15,19,27,5.1,1.7,3.4
Tract 78.07,10,14,10,18,12,16,13,11,10,6,6,10,23,28,31,27,0,0,0,23,32,23,42,28,37,30,25,23,14,14,20,46,56,62,54,0,0,0,2,3,7,6,6,7,2,2,0,2,0,2,6,12,8,10,4,1,1,4.6,7,16,14,14,16,4.6,4.6,0,4.6,0,4,12,24,16,20,8,2,2
Tract 78.08,12,23,22,17,20,27,22,24,25,17,13,6,27,40,46,35,2,0,5,15,29,28,21,25,34,28,30,31,21,16,7.1,32,46,53,40,2.3,0,5.6,1,8,8,8,10,14,13,5,0,4,1,1,4,20,13,18,5,0,3,1.3,10,10,10,13,18,16,6.3,0,5,1.2,1.2,4.7,23,15,20,5.7,0,3.4
Tract 78.09,11,14,30,30,35,36,22,22,35,22,22,20,25,55,64,45,0,0,0,12,16,34,34,39,40,25,25,39,24,24,22,28,61,71,50,0,0,0,4,2,11,12,12,16,10,9,1,2,3,1,10,24,22,18,5,1,0,4.5,2.2,12,13,13,18,11,10,1.1,2.2,3.3,1.1,11,27,24,20,5.5,1.1,0
Tract 79.01,17,11,12,22,23,30,27,24,28,14,13,12,19,46,47,31,0,0,1,25,16,18,32,34,44,40,35,41,20,18,17,26,61,62,41,0,0,1.3,8,4,9,11,5,11,16,9,0,1,3,2,3,20,18,13,2,1,0,12,5.9,13,16,7.3,16,23,13,0,1.4,4.2,2.8,4.1,27,24,17,2.6,1.3,0
Tract 79.03,11,12,9,13,18,11,17,19,14,14,14,15,31,27,35,24,0,1,0,18,20,15,22,30,18,28,32,23,23,23,24,50,44,56,39,0,1.6,0,1,6,7,9,8,7,6,11,0,5,3,0,9,17,12,7,5,1,0,1.7,10,12,15,13,12,10,18,0,8.3,4.9,0,15,28,19,11,7.9,1.6,0
Tract 80.01,17,21,28,28,34,27,27,17,18,11,6,10,20,28,21,62,0,0,1,18,22,29,29,35,28,28,18,19,11,6.2,10,20,26,19,57,0,0,0.9,5,8,17,13,11,15,3,6,0,3,0,1,4,10,7,45,2,0,0,5.2,8.3,18,13,11,16,3.1,6.2,0,3.1,0,1,4,9.4,6.5,42,1.8,0,0
Tract 80.02,11,11,12,22,19,8,13,8,12,4,4,5,11,18,13,15,0,0,0,11,11,12,21,18,7.7,13,7.7,12,3.8,3.8,4.7,10,17,12,14,0,0,0,4,7,4,9,12,7,5,1,1,0,0,2,3,5,3,5,0,0,0,3.9,6.8,3.9,8.7,12,6.8,4.8,1,1,0,0,1.9,2.8,4.7,2.8,4.7,0,0,0
Tract 81,5,5,5,11,10,4,4,3,4,1,3,3,7,9,10,5,0,0,0,7.6,7.6,7.6,17,15,6.1,6.1,4.5,6.1,1.4,4.2,4.2,9.7,12,13,6.7,0,0,0,1,2,0,2,1,0,1,0,0,2,0,1,0,1,0,4,1,0,0,1.5,3,0,3,1.5,0,1.5,0,0,2.8,0,1.4,0,1.4,0,5.4,1.3,0,0
Tract 82,1,5,4,3,1,1,2,1,1,1,0,2,3,3,4,3,0,0,0,1.6,8.1,6.5,4.9,1.6,1.6,3.2,1.6,1.6,1.6,0,3.2,4.8,4.8,6.3,4.7,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.6,0,0,0,0,1.6,1.6,0,0,0,0,0,0,1.6,1.6,0,0,0
Tract 83.01,2,5,5,4,7,4,3,2,2,3,0,2,3,3,12,4,0,0,0,3,7.6,7.6,6.1,11,6.1,4.5,3,3,4.5,0,3,4.5,4.5,18,6,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,3,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.5,3,1.5,1.5,0,0,0
Tract 83.02,6,4,5,7,5,2,4,6,4,3,3,4,2,2,8,7,0,0,0,11,7.5,9.4,13,9.4,3.8,7.5,11,7.4,5.5,5.5,7.3,3.6,3.6,14,13,0,0,0,3,2,5,3,2,1,1,0,0,0,0,1,1,0,3,0,0,0,0,5.6,3.8,9.4,5.6,3.8,1.9,1.9,0,0,0,0,1.8,1.8,0,5.4,0,0,0,0
Tract 84.02,10,4,14,10,8,12,13,8,8,5,1,7,9,14,10,14,0,0,0,22,8.9,31,22,18,27,29,18,18,11,2.2,15,19,30,21,30,0,0,0,1,3,6,5,4,2,2,2,0,0,2,1,1,5,3,6,0,0,0,2.2,6.7,13,11,8.9,4.5,4.5,4.5,0,0,4.5,2.1,2.2,11,6.4,13,0,0,0
Tract 84.10,7,17,27,21,24,19,22,26,15,9,11,5,16,38,23,21,1,0,0,13,31,50,39,44,35,40,48,28,17,20,9.2,29,69,42,38,1.8,0,0,5,4,11,7,12,12,9,9,1,1,1,1,3,13,13,3,2,0,1,9.2,7.4,20,13,22,22,17,17,1.8,1.8,1.8,1.8,5.4,23,23,5.4,3.6,0,1.8
Tract 87.01,10,16,24,22,20,24,23,13,16,13,9,13,29,32,39,28,0,0,1,17,27,40,37,33,40,38,22,26,21,15,21,46,50,62,44,0,0,1.5,2,3,11,8,11,8,15,5,0,1,1,1,12,14,13,9,3,2,1,3.3,5,18,13,18,13,25,8.3,0,1.6,1.6,1.6,19,22,21,14,4.7,3.1,1.5
Tract 87.02,8,10,11,12,13,10,19,9,12,3,2,2,10,10,26,18,0,1,0,25,31,34,37,40,31,59,28,37,8.9,5.9,5.6,26,25,62,42,0,2,0,2,1,4,8,8,5,11,2,1,0,1,0,5,5,5,18,1,0,0,6.2,3.1,12,25,25,16,34,6.2,3.1,0,3,0,13,12,12,42,2.1,0,0
Tract 88.02,15,24,33,35,39,37,42,28,30,19,12,16,25,50,65,64,0,0,0,15,24,34,36,40,38,43,29,31,19,12,16,25,50,64,63,0,0,0,7,4,11,19,12,23,20,11,0,2,3,3,9,9,15,25,4,0,0,7.1,4.1,11,19,12,23,20,11,0,2,3,3,9,9,15,25,4,0,0
Tract 88.03,3,3,6,5,4,4,1,5,4,1,1,3,2,5,7,7,0,0,0,39,39,79,66,53,53,13,66,53,13,12,36,22,53,61,59,0,0,0,1,0,1,4,1,3,2,1,0,0,0,1,2,1,4,0,1,1,0,13,0,13,53,13,39,26,13,0,0,0,12,22,11,35,0,8.5,7.4,0
Tract 88.04,6,8,14,7,16,9,20,10,15,13,8,3,8,13,23,17,0,0,0,22,30,52,26,59,33,74,37,56,48,30,10,25,38,66,46,0,0,0,1,3,5,4,4,3,12,6,4,5,2,0,7,7,4,8,2,0,1,3.7,11,18,15,15,11,44,22,15,19,7.4,0,21,20,11,22,5.2,0,2.6
Tract 89.03,5,7,12,20,18,19,11,20,15,7,4,6,10,16,23,24,0,0,0,11,16,27,46,41,43,25,46,34,16,9.1,13,22,36,50,51,0,0,0,1,5,7,6,18,10,4,5,2,0,0,1,2,8,5,8,1,0,1,2.3,11,16,14,41,23,9.1,11,4.6,0,0,2.2,4.5,18,11,17,2.1,0,2.1
Tract 89.04,3,7,6,7,6,6,6,8,6,4,3,4,4,8,9,7,0,0,0,14,32,28,32,28,28,28,37,28,19,14,19,19,37,42,32,0,0,0,2,0,1,7,4,5,3,4,1,0,1,0,2,4,3,3,2,0,0,9.3,0,4.6,32,19,23,14,19,4.6,0,4.6,0,9.3,19,14,14,9.3,0,0
Tract 90,4,7,14,14,8,10,10,9,11,11,8,17,10,20,26,24,2,0,0,5.7,10,20,20,11,14,14,13,16,16,8.8,19,11,22,29,26,2.1,0,0,1,0,0,0,1,0,1,1,2,0,1,0,2,2,8,4,0,0,0,1.4,0,0,0,1.4,0,1.4,1.4,2.8,0,1.1,0,2.2,2.2,8.8,4.4,0,0,0
Tract 91.02,5,6,7,13,16,13,16,19,14,13,10,15,19,24,34,27,0,0,0,7.2,8.6,10,19,23,19,23,26,19,17,13,20,24,30,42,33,0,0,0,4,1,3,2,4,7,4,3,2,1,0,2,6,9,16,5,2,1,0,5.7,1.4,4.3,2.9,5.7,10,5.7,4.1,2.7,1.3,0,2.6,7.6,11,20,6.2,2.5,1.2,0
Tract 92.01,2,2,4,7,7,6,7,0,4,3,0,3,6,15,16,16,0,3,0,7.5,7.5,15,26,26,22,26,0,15,11,0,11,22,54,57,57,0,7,0,4,1,0,4,4,2,3,1,0,0,0,0,1,7,3,3,1,1,0,15,3.7,0,15,15,7.5,11,3.7,0,0,0,0,3.6,25,11,11,2.6,2.3,0
Tract 92.03,8,13,11,15,24,14,16,24,15,16,8,12,11,21,26,29,67,0,1,12,19,16,22,35,20,23,34,21,22,11,16,15,29,36,40,84,0,1.2,1,2,6,7,11,6,5,6,1,1,1,3,5,4,9,10,3,0,1,1.5,2.9,8.7,10,16,8.7,7.3,8.6,1.4,1.4,1.4,4.1,6.8,5.5,12,14,3.8,0,1.2
Tract 92.04,1,3,4,7,8,10,5,5,7,2,0,5,1,11,9,12,0,0,0,6.7,20,27,47,54,67,34,34,47,12,0,24,4,40,33,44,0,0,0,0,0,4,1,1,5,2,1,0,0,0,1,1,6,0,1,1,0,0,0,0,27,6.7,6.7,34,13,6.7,0,0,0,4.8,4,22,0,3.6,3.6,0,0
Tract 93.01,7,14,16,28,25,24,21,21,18,11,7,18,21,30,29,25,0,0,0,6.3,13,15,25,23,22,19,19,16,10,6.3,16,19,27,26,23,0,0,0,2,5,7,3,11,12,5,5,0,1,0,3,7,8,9,6,1,1,0,1.8,4.5,6.3,2.7,10,11,4.5,4.5,0,0.9,0,2.7,6.3,7.3,8.2,5.4,0.9,0.9,0
Tract 93.02,9,10,11,12,13,7,7,3,8,9,5,2,5,6,24,21,0,0,0,25,28,30,33,36,19,19,8.3,22,25,14,5.5,14,17,66,58,0,0,0,2,9,3,6,6,3,4,0,0,0,0,0,0,0,2,5,1,0,0,5.5,25,8.3,17,17,8.3,11,0,0,0,0,0,0,0,5.5,14,2.7,0,0
Tract 94,7,19,25,29,35,32,32,28,22,14,15,10,21,56,57,47,0,0,0,4.5,12,16,19,23,21,21,18,14,9,9.6,6.4,13,36,37,30,0,0,0,3,4,6,9,11,10,12,7,1,1,0,4,3,15,15,10,7,1,1,1.9,2.6,3.9,5.8,7.1,6.4,7.7,4.5,0.6,0.6,0,2.6,1.9,9.6,9.6,6.4,4.5,0.6,0.6
Tract 95.01,2,4,5,7,6,7,6,5,6,2,2,2,8,14,14,13,2,0,0,6.8,14,17,24,20,24,20,17,20,6.8,6.8,5.5,22,36,36,33,5.1,0,0,1,1,1,3,4,2,2,1,1,0,0,0,2,4,3,5,2,0,0,3.4,3.4,3.4,10,14,6.8,6.8,3.4,3.4,0,0,0,5.4,10,7.7,13,5.1,0,0
