GEO2010,TotPop_1980,TotPop_1990,TotPop_2000,TotPop_2010,PctChgTotPop_1980_1990,PctChgTotPop_1990_2000,PctChgTotPop_2000_2010,PctPopUnder18Years_1980,PctPopUnder18Years_1990,PctPopUnder18Years_2000,PctPopUnder18Years_2010,PctChgPopUnder18Years_1980_1990,PctChgPopUnder18Years_1990_2000,PctChgPopUnder18Yea_2000_2010,PctPop65andOverYears_1980,PctPop65andOverYears_1990,PctPop65andOverYears_2000,PctPop65andOverYears_2010,PctChgPop65andOverYear_1980_1990,PctChgPop65andOverYear_1990_2000,PctChgPop65andOverYear_2000_2010,PctBlackNonHispBridge_1990,PctBlackNonHispBridge_2000,PctBlackNonHispBridge_2010,PctWhiteNonHispBridge_1990,PctWhiteNonHispBridge_2000,PctWhiteNonHispBridge_2010,PctHisp_1990,PctHisp_2000,PctHisp_2010,PctAsianPINonHispBridge_1990,PctAsianPINonHispBridge_2000,PctAsianPINonHispBridge_2010,PctForeignBorn_1980,PctForeignBorn_1990,PctForeignBorn_2000,PctForeignBorn_2010_14,PctFamiliesOwnChildrenFH_1990,PctFamiliesOwnChildrenFH_2000,PctFamiliesOwnChildrenFH_2010_14,Pct_births_low_wt_1998,Pct_births_low_wt_1999,Pct_births_low_wt_2000,Pct_births_low_wt_2001,Pct_births_low_wt_2002,Pct_births_low_wt_2003,Pct_births_low_wt_2004,Pct_births_low_wt_2005,Pct_births_low_wt_2006,Pct_births_low_wt_2007,Pct_births_low_wt_2008,Pct_births_low_wt_2009,Pct_births_low_wt_2010,Pct_births_low_wt_2011,Pct_births_teen_1998,Pct_births_teen_1999,Pct_births_teen_2000,Pct_births_teen_2001,Pct_births_teen_2002,Pct_births_teen_2003,Pct_births_teen_2004,Pct_births_teen_2005,Pct_births_teen_2006,Pct_births_teen_2007,Pct_births_teen_2008,Pct_births_teen_2009,Pct_births_teen_2010,Pct_births_teen_2011
Tract 96.03,3996,3359,3230,3373,s,s,4.4,s,s,21,22,s,s,6.9,12,19,21,17,27,6.5,-17,s,99,97,s,0.4,0.5,0.4,0,1.8,s,0.4,0.4,s,s,1.3,3.7,s,62,86,20,9.7,14,9.1,6.9,14,19,14,15,14,9.4,14,11,14,20,16,8.6,18,14,21,19,14,28,16,16,16,13,19
Tract 96.04,2356,2236,1994,1962,s,s,-1.6,s,s,18,19,s,s,2.2,15,26,23,20,64,-20,-16,s,97,96,s,0.8,1.1,0.8,1,2.8,s,0.5,0.2,s,s,1.5,2,s,72,56,8.7,8,22,9.1,10,17,0,14,5.1,14,8.7,18,12,17,26,0,14,18,25,13,25,19,41,14,8.7,29,15,22
Tract 97,4559,4413,2297,3177,s,s,38,s,s,35,29,s,s,16,1.3,3.6,4.5,11,178,-35,237,s,96,98,s,0,0.4,0,4,1,s,0.2,0.3,s,s,4.4,0.6,s,71,84,17,10,23,9.7,12,18,18,17,11,7.3,17,16,9.8,12,20,20,13,29,7,20,16,8.6,12,20,24,18,23,19
Tract 98.01,3539,2607,2098,1575,s,s,-25,s,s,44,30,s,s,-49,1.3,4,3.8,12,129,-22,139,s,99,97,s,0,0.7,0.4,0.8,1.7,s,0,0.3,s,s,0,4.3,s,83,75,28,17,12,18,11,18,21,0,18,18,20,20,11,5.9,26,23,33,31,29,27,18,20,14,21,30,26,20,29
Tract 98.02,2771,2257,1799,1693,s,s,-5.9,s,s,40,33,s,s,-23,3.4,4,11,7.4,-4.2,125,-39,s,99,98,s,0.1,0.6,0,0,1.6,s,1.1,0,s,s,1.8,1.4,s,79,78,12,11,26,21,13,12,11,8.8,13,15,9.8,19,7.7,7.7,19,22,19,18,21,24,20,16,30,27,20,21,33,15
Tract 98.03,3390,2940,2247,2758,s,s,23,s,s,29,27,s,s,18,2.6,4,7.4,8.9,36,42,47,s,95,98,s,2.6,0.8,0,0.7,1.1,s,0.3,0.2,s,s,2.4,1.5,s,75,73,20,18,6.4,24,14,17,3.3,9.8,17,11,15,12,23,15,16,12,19,17,19,14,6.7,15,15,23,26,12,18,22
Tract 98.04,2449,2634,2555,2473,s,s,-3.2,s,s,35,28,s,s,-23,2.6,5.8,5.8,9,138,-3.3,52,s,99,97,s,0.5,0.6,0.6,0.3,2.3,s,0,0.2,s,s,0.7,3.5,s,67,77,15,32,11,26,10,12,5.9,14,11,20,14,8.9,8.5,9.4,13,28,26,38,25,9.1,8.8,12,14,22,19,36,21,7.5
Tract 98.07,4023,3384,3242,3072,s,s,-5.2,s,s,26,22,s,s,-19,3.9,5.9,11,13,27,78,16,s,94,96,s,2.3,1.2,1.8,0.7,1.9,s,1.5,0.5,s,s,2.2,3.8,s,58,68,25,12,21,20,12,12,9.7,13,17,21,8.2,13,12,9.4,21,27,25,22,10,26,13,10,17,11,13,21,13,17
Tract 98.10,3678,3275,2672,2507,s,s,-6.2,s,s,36,31,s,s,-20,2.5,3.6,6.2,5.7,29,42,-14,s,98,98,s,0.6,0.6,0,0.9,0.9,s,0.8,0,s,s,3.2,0.9,s,77,83,14,21,20,17,17,13,13,13,12,13,21,13,13,16,30,24,22,16,14,16,16,15,9.7,16,13,17,18,20
Tract 98.11,4510,4017,3276,4365,s,s,33,s,s,36,33,s,s,19,2.5,3.6,6.2,6.3,29,42,35,s,98,98,s,0.6,0.3,0,0.9,0.8,s,0.8,0.2,s,s,3.2,1.8,s,77,66,14,21,20,17,17,13,13,13,12,13,21,13,13,16,30,24,22,16,14,16,16,15,9.7,16,13,17,18,20
Tract 99.01,2904,2658,2300,2249,s,s,-2.2,s,s,14,17,s,s,15,12,19,24,26,49,9.6,6.2,s,93,94,s,5.2,3.4,0.1,1.4,1.7,s,0.1,0.4,s,s,1.4,1.3,s,41,23,18,0,27,0,13,24,24,13,13,13,27,0,0,9.5,5.9,25,0,0,20,12,4.8,20,13,6.3,0,0,20,14
Tract 99.02,3617,3275,2912,2905,s,s,-0.2,s,s,20,22,s,s,7.1,7.5,13,20,20,54,39,0.3,s,97,97,s,1.9,0.9,0.8,0.9,1.5,s,0,0.1,s,s,1.3,2.2,s,50,69,6.9,26,26,13,14,8.6,8.8,19,15,17,6.1,6.8,8.1,7.5,17,17,13,26,6.9,11,18,19,15,14,30,20,30,25
Tract 99.03,3902,3233,2164,1851,s,s,-14,s,s,34,27,s,s,-33,12,16,21,12,12,-12,-52,s,98,97,s,0,0.9,0,0.7,1.6,s,0.6,0.2,s,s,0.8,5.4,s,79,78,23,22,8,9.7,20,14,14,5.6,0,42,14,23,24,11,27,22,32,39,20,41,14,24,21,17,14,14,24,29
Tract 99.04,4056,3227,1831,2243,s,s,23,s,s,30,31,s,s,28,3,4,8.7,6.7,7.5,24,-6.3,s,98,91,s,0,1,0,0.5,7.2,s,1.7,0.4,s,s,2.3,2.9,s,61,67,25,19,12,2.7,22,17,10,16,15,5.7,27,18,12,13,18,35,12,19,37,15,20,19,19,11,24,24,16,15
Tract 99.05,3632,3260,2681,2795,s,s,4.3,s,s,33,28,s,s,-13,6.8,11,8.2,10,42,-37,27,s,100,97,s,0,0.9,0.4,0,1.9,s,0,0.2,s,s,0.3,1.9,s,60,64,16,19,12,17,26,27,18,11,16,15,14,9.1,17,13,11,17,17,13,21,27,23,13,31,21,28,25,20,8.3
Tract 99.06,2176,1862,1516,1296,s,s,-15,s,s,28,23,s,s,-31,8,13,13,14,36,-17,-10,s,99,97,s,0,0.7,0,0.3,2.4,s,0,0.3,s,s,1,3.8,s,75,54,8.1,15,8,5.3,13,9.4,5.7,18,17,25,17,19,13,43,30,12,12,29,17,9.4,26,26,13,22,8.7,6.5,19,0
Tract 99.07,3417,3097,3092,2836,s,s,-8.3,s,s,38,33,s,s,-20,5.5,8.8,12,8.4,45,32,-34,s,99,98,s,0.2,0.4,0,0.3,1.1,s,0.8,0.2,s,s,0,0.7,s,76,85,9.8,7.6,13,27,7.1,19,15,21,21,12,25,16,16,18,26,20,21,11,26,22,27,33,25,20,20,18,17,18
Tract 101,1749,1615,1592,2621,s,s,65,s,s,6.8,3.5,s,s,-15,20,28,16,11,27,-42,12,s,27,15,s,46,57,23,15,11,s,12,16,s,s,30,26,s,20,24,6.7,0,13,7.1,9.1,14,7.7,7.1,10,0,0,14,14,4,0,0,6.3,0,0,0,15,7.1,0,0,13,0,0,0
Tract 102,1974,2012,2362,2324,s,s,-1.6,s,s,7.7,5.6,s,s,-28,6.4,11,15,16,71,64,4.8,s,57,41,s,35,46,2.9,3.4,5.9,s,2.9,5.8,s,s,12,15,s,72,21,19,17,13,11,0,0,14,0,6.1,18,14,18,7.7,20,6.3,17,0,0,0,0,6.9,0,0,0,0,0,0,6.7
Tract 103,3971,3794,3660,3187,s,s,-13,s,s,15,16,s,s,-4,9,11,13,14,15,12,-3.5,s,69,61,s,17,19,3.3,12,17,s,1.3,2.7,s,s,16,20,s,44,32,14,8.8,16,1.6,5.7,16,12,15,9,12,20,4.3,i,7.8,5.1,16,2.7,4.9,9.4,10,9.2,7.4,7,9.4,10,4.3,i,5.9
Tract 104,6587,5667,3974,4365,s,s,9.9,s,s,24,23,s,s,4.9,13,10,7.9,9,-33,-47,27,s,94,95,s,4,2.4,0.9,0.7,1.9,s,0,0.4,s,s,2.6,4,s,60,66,16,17,15,18,14,18,12,12,15,19,11,20,12,12,31,29,18,20,24,23,23,34,15,23,22,19,20,17
Tract 105,3252,2981,3422,3410,s,s,-0.4,s,s,18,14,s,s,-27,2.7,5.4,5.3,7.6,83,14,42,s,70,56,s,22,30,5.2,4.4,6.2,s,2.6,7.6,s,s,15,15,s,65,21,8.9,9.8,15,8.7,17,10,18,21,14,13,18,12,11,4.1,11,9.8,6.3,4.3,6.9,13,14,12,14,9.4,15,19,11,12
Tract 106,4845,3814,3298,3933,s,s,19,s,s,25,14,s,s,-36,14,13,13,7.2,-24,-16,-34,s,92,52,s,3.7,40,0.7,4,4.5,s,0.2,3.9,s,s,7,7.9,s,62,36,15,14,17,7.7,7.7,11,10,9.3,8.9,18,6,6.8,5.2,7.2,8.3,27,31,13,23,16,14,12,14,8.2,12,6.8,9.1,2.9
Tract 107,2029,1314,1589,1838,s,s,16,s,s,2.1,0.9,s,s,-48,17,9.2,7,6.5,-65,-8.3,7.2,s,4,5.2,s,74,74,6.2,7.7,7.5,s,13,13,s,s,25,27,s,0,i,25,0,0,14,0,14,14,0,20,40,22,0,0,14,0,0,0,0,0,0,0,0,0,0,11,0,0,7.1
Tract 108,4484,5172,4290,6408,s,s,49,s,s,0.2,0.4,s,s,200,7.1,4.7,1.3,1,-23,-78,20,s,4.2,6.3,s,74,77,3.7,4.2,4.2,s,17,12,s,s,12,13,s,0,i,0,0,0,29,25,25,20,0,0,0,0,0,20,17,25,10,0,0,25,0,0,0,0,17,0,0,0,0
Tract 109,3253,3063,2858,3211,s,s,12,s,s,30,27,s,s,1.3,18,8.8,4.4,4.6,-52,-54,18,s,97,96,s,1.8,1.6,0.2,0.6,1.5,s,0,0.5,s,s,1.7,3.6,s,67,79,7.1,25,24,17,7.5,9.8,19,14,17,17,16,19,7.6,11,14,16,9.3,16,18,20,11,26,24,21,20,25,24,11
Tract 110,3703,3950,3831,3715,s,s,-3,s,s,12,9.7,s,s,-20,11,17,21,22,59,18,0.9,s,58,47,s,34,42,2.7,5.2,4.9,s,2.6,4.4,s,s,7.7,13,s,67,67,13,10,4.3,20,6.7,11,0,5.9,15,19,6.5,12,9.1,4,20,15,22,15,0,0,6.7,5.9,0,7.7,6.2,8,4.3,8
Tract 111,5475,5107,4827,4859,s,s,0.7,s,s,20,19,s,s,-6.7,18,21,23,20,8.6,2.5,-14,s,94,87,s,2.8,5,1,2.3,6.9,s,0.8,0.4,s,s,4.8,9.4,s,55,51,18,23,9.1,16,8.7,4.5,11,19,18,9.5,11,8.8,14,9,8.3,15,16,18,13,13,21,21,11,14,12,8.8,6.1,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
