GEO2010,TotPop_1980,TotPop_1990,TotPop_2000,TotPop_2010,PctChgTotPop_1980_1990,PctChgTotPop_1990_2000,PctChgTotPop_2000_2010,PctPopUnder18Years_1980,PctPopUnder18Years_1990,PctPopUnder18Years_2000,PctPopUnder18Years_2010,PctChgPopUnder18Years_1980_1990,PctChgPopUnder18Years_1990_2000,PctChgPopUnder18Yea_2000_2010,PctPop65andOverYears_1980,PctPop65andOverYears_1990,PctPop65andOverYears_2000,PctPop65andOverYears_2010,PctChgPop65andOverYear_1980_1990,PctChgPop65andOverYear_1990_2000,PctChgPop65andOverYear_2000_2010,PctBlackNonHispBridge_1990,PctBlackNonHispBridge_2000,PctBlackNonHispBridge_2010,PctWhiteNonHispBridge_1990,PctWhiteNonHispBridge_2000,PctWhiteNonHispBridge_2010,PctHisp_1990,PctHisp_2000,PctHisp_2010,PctAsianPINonHispBridge_1990,PctAsianPINonHispBridge_2000,PctAsianPINonHispBridge_2010,PctForeignBorn_1980,PctForeignBorn_1990,PctForeignBorn_2000,PctForeignBorn_2010_14,PctFamiliesOwnChildrenFH_1990,PctFamiliesOwnChildrenFH_2000,PctFamiliesOwnChildrenFH_2010_14,Pct_births_low_wt_1998,Pct_births_low_wt_1999,Pct_births_low_wt_2000,Pct_births_low_wt_2001,Pct_births_low_wt_2002,Pct_births_low_wt_2003,Pct_births_low_wt_2004,Pct_births_low_wt_2005,Pct_births_low_wt_2006,Pct_births_low_wt_2007,Pct_births_low_wt_2008,Pct_births_low_wt_2009,Pct_births_low_wt_2010,Pct_births_low_wt_2011,Pct_births_teen_1998,Pct_births_teen_1999,Pct_births_teen_2000,Pct_births_teen_2001,Pct_births_teen_2002,Pct_births_teen_2003,Pct_births_teen_2004,Pct_births_teen_2005,Pct_births_teen_2006,Pct_births_teen_2007,Pct_births_teen_2008,Pct_births_teen_2009,Pct_births_teen_2010,Pct_births_teen_2011
Tract 77.07,4780,4198,3796,3867,s,s,1.9,s,s,27,27,s,s,-1.4,6.9,13,17,17,61,22,-0.9,s,99,97,s,0.7,1.1,0.4,0,1.7,s,0.4,0,s,s,1.2,0,s,56,75,14,18,19,23,10,16,22,14,18,11,18,14,14,18,17,21,14,19,24,19,17,18,21,20,13,18,18,12
Tract 77.08,2958,2867,2654,2486,s,s,-6.3,s,s,30,26,s,s,-19,4.2,5.8,9.3,10,32,50,0,s,99,98,s,0,0.4,0.6,0,1.4,s,0,0.1,s,s,0.3,0.2,s,80,61,17,9.4,15,10,12,23,5.3,13,22,14,7.8,2.2,11,11,17,25,10,18,24,35,21,13,5,16,24,20,20,17
Tract 77.09,2594,2367,2031,2007,s,s,-1.2,s,s,24,20,s,s,-16,13,14,11,15,0.9,-33,36,s,97,95,s,1.7,1.4,1.1,1.4,2.3,s,0,0.1,s,s,0.8,4.2,s,56,92,0,10,21,18,21,16,9.1,12,21,16,4.3,16,15,18,19,34,25,18,21,12,14,24,21,38,4.3,23,15,21
Tract 78.03,4644,3812,3092,3293,s,s,6.5,s,s,24,23,s,s,-0.7,11,15,15,13,10,-20,-8.9,s,97,95,s,1.1,0.7,0.2,1.6,3.1,s,0.2,0.3,s,s,1.8,5.3,s,60,81,11,25,17,20,22,11,13,8.3,8.9,11,13,9.5,5.7,18,26,14,26,12,22,30,8.3,13,22,20,23,19,34,18
Tract 78.04,4207,3836,3390,3446,s,s,1.7,s,s,31,29,s,s,-3.2,10,18,19,13,64,-10,-27,s,98,97,s,0.8,0.6,1.6,0.4,2,s,0.2,0.2,s,s,0.9,6.3,s,74,65,13,17,12,22,12,21,9.9,12,15,12,14,21,13,14,15,24,31,16,16,16,18,8.5,17,17,22,36,22,18
Tract 78.06,2921,2415,2103,2347,s,s,12,s,s,23,23,s,s,16,10,14,14,12,13,-18,2.8,s,99,95,s,0,0.9,0.2,0.6,3.2,s,0.6,0.1,s,s,0.6,1.4,s,46,87,18,13,15,16,8.6,11,22,13,16,16,14,5.3,14,11,18,28,27,23,16,18,25,6.5,27,20,24,16,14,20
Tract 78.07,2439,2245,1941,2139,s,s,10,s,s,29,26,s,s,-2.8,7.3,8.4,13,11,5.6,29,0,s,98,97,s,0.6,0.4,1.6,1.2,2.3,s,0,0.3,s,s,0.6,5,s,73,65,14,13,3,14,17,11,23,17,9.5,8.3,8.5,15,26,9.1,21,25,12,14,17,7.4,7.7,34,24,22,13,36,21,25
Tract 78.08,5989,4739,4112,3646,s,s,-11,s,s,37,30,s,s,-28,6.8,12,10,13,33,-23,12,s,98,96,s,1,0.8,0,0.6,2.1,s,0,0.3,s,s,0.5,13,s,73,69,23,17,8.1,19,18,22,20,15,11,22,18,9.9,9.7,16,24,20,24,26,22,26,13,32,21,26,23,35,26,24
Tract 78.09,3492,2821,2567,2922,s,s,14,s,s,19,27,s,s,60,10,16,15,11,20,-13,-17,s,99,96,s,0.7,1.2,0.9,0.5,2.9,s,0,0.1,s,s,1.1,5.6,s,70,90,17,13,15,16,11,11,22,14,16,16,5,13,4.2,16,17,28,27,23,16,15,25,6.8,27,20,17,29,17,25
Tract 79.01,4647,3938,3680,3822,s,s,3.9,s,s,30,27,s,s,-5.1,12,11,12,8.3,-19,4.1,-30,s,97,87,s,0.6,9.2,2.9,1,3,s,0.6,0.7,s,s,1.9,1.5,s,81,69,18,16,12,23,15,17,13,15,15,18,16,9.5,9.4,26,24,20,20,7.8,24,14,26,21,14,16,14,12,12,13
Tract 79.03,2444,1956,1834,1774,s,s,-3.3,s,s,20,21,s,s,0.3,21,26,18,14,1.2,-36,-22,s,100,87,s,0,6.8,0,0,5.4,s,0,0.5,s,s,2.3,2,s,53,59,12,29,5.9,26,10,9.1,17,12,12,3.4,13,19,16,12,40,21,24,17,5,18,4.3,8.8,19,6.9,13,19,5,7.7
Tract 80.01,3498,2983,2650,2784,s,s,5.1,s,s,24,14,s,s,-38,12,14,13,9.6,-0.5,-16,-24,s,85,46,s,11,46,0.3,2.5,5,s,0.6,2.8,s,s,3.6,12,s,53,22,12,17,10,28,14,13,17,4.8,4.4,7.1,2.5,13,9.1,10,12,8.7,15,14,9.1,16,20,9.5,13,0,2.5,1.6,0,3.3
Tract 80.02,3520,3549,3097,3031,s,s,-2.1,s,s,14,14,s,s,-6.7,11,11,9.3,8.7,0.5,-29,-7.7,s,66,39,s,30,53,0.9,2.1,3.8,s,1.5,3.5,s,s,3.5,7,s,54,21,12,6.3,13,11,7.4,11,6.8,20,1.9,19,15,10,8.4,2.1,20,16,15,11,0,14,8.9,0,7.5,8.5,4.9,4.1,8.4,6.4
Tract 81,3208,2718,2462,2910,s,s,18,s,s,8.9,12,s,s,63,8.7,7.3,8.9,9,-29,11,19,s,36,15,s,58,76,3.2,1.9,4.6,s,3.4,4.1,s,s,8.5,6.1,s,20,7,16,19,5,12,13,5.9,8.9,7,6.8,4.5,2.2,4.4,13,3.6,9.4,9.4,5,0,0,0,2.2,0,4.5,2.3,2.2,0,1.9,0
Tract 82,2509,2713,2543,2918,s,s,15,s,s,6.9,8.4,s,s,39,11,8.8,6.5,9.1,-9.4,-31,60,s,6.8,5.6,s,89,84,2.5,2.6,4.6,s,2,5.3,s,s,5.6,9.3,s,8.8,10,7.7,22,17,14,6.9,0,0,3.4,0,0,15,0,6.9,12,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0
Tract 83.01,2351,2380,2311,2279,s,s,-1.4,s,s,13,11,s,s,-18,12,8.1,6.2,5.2,-31,-25,-17,s,37,17,s,54,75,3.7,3.8,3.5,s,3.9,4.1,s,s,4.8,6.4,s,50,11,11,8.7,0,3.3,5.9,0,6.7,13,18,5.7,10,17,7.1,10,18,4.3,3.8,3.3,0,8.7,6.7,3.2,5.9,11,6.7,3.3,2.4,2.1
Tract 83.02,2375,1930,1850,2206,s,s,19,s,s,7.9,12,s,s,81,12,11,13,10,-28,16,-5.4,s,39,23,s,55,68,2.5,3.4,4.3,s,2.5,4.4,s,s,6.6,6.6,s,31,0,7.1,0,0,18,3.6,11,11,3.2,6.5,9.1,9.4,2.9,17,14,0,0,4,4.5,0,7.1,7.1,0,3.2,3.1,0,0,0,0
Tract 84.02,2233,2780,2200,2149,s,s,-2.3,s,s,16,11,s,s,-36,11,15,18,15,75,-5.1,-20,s,77,40,s,20,52,2.9,0.5,4.6,s,2.4,3.3,s,s,6.6,6.3,s,59,26,27,14,7.1,9.1,9.1,4.8,5,8.7,12,0,5.6,8.7,0,5,14,9.1,11,9.1,9.1,4.8,10,13,12,8.8,2.8,0,5.6,2.5
Tract 84.10,2227,1697,1445,1489,s,s,3,s,s,23,17,s,s,-23,14,15,12,9.6,-19,-30,-18,s,86,64,s,5.7,28,0,6.9,4.8,s,0.1,1.9,s,s,5.1,5.9,s,47,49,4.2,10,10,19,15,19,26,4.8,5.3,11,4.8,0,19,9.7,21,25,24,7.7,18,19,13,5,11,7.7,14,13,0,3.2
Tract 87.01,3181,2814,2467,2407,s,s,-2.4,s,s,23,18,s,s,-25,13,19,14,9.1,29,-33,-39,s,97,78,s,1.3,15,0.7,1.9,4.7,s,0,1.9,s,s,3.2,7.8,s,57,82,23,14,14,16,18,5.3,0,8.8,5.6,4.5,11,18,2.8,17,30,27,27,24,21,13,22,18,17,14,17,16,17,17
Tract 87.02,2079,2093,1864,1599,s,s,-14,s,s,27,17,s,s,-46,8.9,11,12,9.3,27,-5.1,-34,s,95,81,s,1.8,11,4.1,1.7,6.4,s,0,0.9,s,s,2.4,7.3,s,69,78,19,19,15,11,12,4,7.4,0,6.5,12,3.8,13,11,5,7.7,31,21,26,15,12,19,4.2,16,7.7,19,22,11,5
Tract 88.02,5224,4772,4068,4119,s,s,1.3,s,s,25,20,s,s,-21,14,20,18,14,30,-26,-17,s,98,88,s,0.4,6.6,0,1.1,4.2,s,0.4,1,s,s,3.9,7,s,64,69,27,17,19,16,8.6,14,19,14,18,12,17,11,14,11,25,17,21,27,14,30,16,14,24,20,24,18,15,13
Tract 88.03,2659,2213,1940,2037,s,s,5,s,s,18,16,s,s,-8.1,5.4,8.9,4.7,3.8,38,-54,-15,s,62,56,s,32,31,0.9,3.2,8.2,s,2.6,4.1,s,s,7.5,12,s,82,84,15,26,9.4,20,12,22,7.7,18,19,19,0,26,10,6.1,27,15,25,17,18,13,15,14,14,19,17,11,15,15
Tract 88.04,3350,3065,2347,2412,s,s,2.8,s,s,26,22,s,s,-13,11,10,14,9.2,-16,1.6,-31,s,95,91,s,0.8,2.9,0.3,1.4,5.4,s,2,0.2,s,s,3.4,8.4,s,83,66,10,13,14,13,13,14,10,21,13,7.8,22,6.3,7.7,13,24,27,14,31,27,11,13,24,32,14,31,16,15,16
Tract 89.03,3728,3357,2393,2633,s,s,10,s,s,22,24,s,s,23,11,14,13,11,16,-29,-10,s,97,95,s,0.7,1.5,0.8,1,2.5,s,0.3,0.3,s,s,3.3,9.5,s,70,91,21,29,15,4.3,10,13,16,13,23,27,11,18,22,16,23,15,15,26,15,18,16,15,28,29,26,34,20,31
Tract 89.04,4249,3863,3161,3309,s,s,4.7,s,s,32,22,s,s,-26,12,15,12,9.9,11,-35,-11,s,98,97,s,0.8,0.8,0.4,0.7,1.8,s,0,0.3,s,s,0.8,13,s,72,48,26,19,17,15,11,11,21,6.9,8.7,13,12,14,17,11,20,22,19,25,21,24,20,12,13,16,26,18,20,26
Tract 90,1498,2142,2355,2732,s,s,16,s,s,15,11,s,s,-16,30,37,37,29,75,9.2,-7,s,98,91,s,0.6,3.7,2,1.8,2.8,s,0,2.6,s,s,1.3,7.2,s,47,36,27,0,25,19,8.3,36,11,15,20,25,6.7,17,3,4.2,13,0,5,13,0,0,11,15,6.7,13,3.3,17,18,0
Tract 91.02,5465,4847,4400,4127,s,s,-6.2,s,s,29,26,s,s,-16,7.9,15,14,13,65,-15,-15,s,99,93,s,0.3,2.3,0,0.5,4.2,s,0.1,0.4,s,s,1.1,13,s,59,69,16,11,4.8,17,21,10,16,14,18,15,18,16,17,21,23,27,21,22,27,19,19,21,19,26,38,25,26,15
Tract 92.01,2892,1758,1334,1976,s,s,48,s,s,21,11,s,s,-22,5.2,12,13,9.1,34,-15,4,s,77,53,s,16,34,1.2,6.1,9.4,s,1,3.1,s,s,5.8,8.1,s,92,54,14,15,7.7,0,10,0,15,0,0,6.3,12,21,17,14,14,7.7,7.7,17,20,23,23,9.1,15,13,5.9,4.2,8.3,0
Tract 92.03,3480,3249,2813,2582,s,s,-8.2,s,s,21,18,s,s,-20,16,15,17,13,-13,-0.2,-31,s,91,82,s,2.1,9.6,1.6,5.8,6.5,s,0,1.5,s,s,7.3,12,s,61,61,17,26,15,13,6.6,11,18,9.1,20,17,12,4.3,16,11,25,19,32,22,12,26,8.2,16,12,14,14,28,6.8,2.7
Tract 92.04,2630,2387,2417,2557,s,s,5.8,s,s,27,21,s,s,-19,16,21,16,16,19,-24,10,s,94,81,s,3.3,5.3,3.2,2.4,12,s,0,0.6,s,s,1.5,18,s,82,56,17,24,15,13,6.4,11,18,15,21,15,0,2.3,9.3,9.1,25,20,32,22,14,26,8.5,15,12,13,7.7,7,21,9.1
Tract 93.01,3892,3544,3197,3143,s,s,-1.7,s,s,20,17,s,s,-17,15,16,15,15,-7.4,-11,-4.1,s,70,62,s,19,28,4.2,6.6,7,s,2,2.8,s,s,6.9,7.2,s,27,27,24,15,6.9,13,8.8,11,8.2,25,12,0,7,2,12,8.8,13,15,17,13,21,5.6,18,17,7,8.1,14,4,3.9,12
Tract 93.02,2150,1674,1309,1189,s,s,-9.2,s,s,21,19,s,s,-16,11,17,17,11,18,-25,-40,s,99,72,s,1.1,15,1.3,0.2,11,s,0,2,s,s,3.9,13,s,44,55,0,21,15,8.3,45,0,7.1,14,14,6.9,14,3.3,5,38,11,29,19,33,27,0,7.1,9.1,9.1,17,0,13,15,0
Tract 94,5049,4627,4166,4163,s,s,-0.1,s,s,19,18,s,s,-2.9,15,23,25,19,34,-1.7,-22,s,91,84,s,2.4,7.4,0.2,4,6.4,s,1.3,1.2,s,s,3.2,7,s,52,47,3.4,7.3,4.4,11,27,9.4,6.1,16,13,6.9,14,3.5,15,1.9,21,7.3,11,18,11,6.5,8.8,9.1,11,7,3.9,1.7,0,15
Tract 95.01,4341,5869,5264,5797,s,s,10,s,s,12,12,s,s,6.9,5.2,6.7,8.2,8.3,72,10,11,s,58,49,s,34,33,3.9,3.7,14,s,3.3,2.6,s,s,11,25,s,52,41,17,14,8.7,9.7,7,11,9,7.1,4.2,15,6.6,9.6,9.5,3.4,3.4,12,15,15,16,9.1,7.5,11,8.3,12,16,13,11,8
Tract 95.03,3899,3220,3066,2910,s,s,-5.1,s,s,19,16,s,s,-17,15,23,27,24,24,12,-14,s,88,81,s,11,13,0.9,1.5,3.9,s,0,1.8,s,s,3.1,3.4,s,36,54,33,14,9.4,7.4,16,15,4,22,17,11,23,2.4,5.7,0,4.2,14,9.4,3.7,16,15,8,5.6,17,3.6,9.1,15,11,14
Tract 95.04,3579,3227,3570,3025,s,s,-15,s,s,21,14,s,s,-44,9.4,11,17,22,5.9,69,12,s,78,74,s,16,20,2.8,5,4,s,1.2,1.7,s,s,9.6,8.4,s,49,43,9.4,9.1,13,14,13,4.7,11,13,12,21,10,0,9.5,7.7,9.4,15,10,16,13,4.7,8.8,11,20,9.8,5,6.5,2.4,7.7
Tract 95.05,3219,3132,2454,2630,s,s,7.2,s,s,12,16,s,s,50,13,23,31,24,66,5.9,-16,s,94,87,s,4,4.2,1.1,1.2,7.6,s,0.6,1,s,s,4.7,9.7,s,43,25,31,16,21,3.4,16,5,20,14,8.1,18,17,11,7.1,13,12,11,5.3,6.9,12,5,6.7,2.8,14,14,8.7,11,18,10
Tract 95.07,1957,1726,1574,1489,s,s,-5.4,s,s,20,19,s,s,-13,5.7,18,23,24,177,20,-2.4,s,92,88,s,2,1.1,0,0,10,s,4.3,0.1,s,s,6.5,8.7,s,38,59,27,25,9.1,15,11,17,14,17,23,13,11,9.5,6.3,14,18,8.3,36,7.7,11,8.7,14,0,0,0,0,9.5,13,24
Tract 95.08,3588,3041,2777,3290,s,s,18,s,s,16,15,s,s,15,7.1,15,24,24,78,49,14,s,99,86,s,0,5.7,0.5,0.9,7.1,s,0.1,0.9,s,s,3.6,22,s,62,58,22,19,14,17,9.5,18,11,6.9,14,5.7,7.7,11,12,8.3,16,7.7,10,24,19,7.1,15,3.4,17,8.6,15,11,12,10
Tract 95.09,3628,3271,2940,2940,s,s,0,s,s,19,18,s,s,-3.7,9.5,18,25,22,75,24,-13,s,93,88,s,0.7,4.2,0.8,5.5,5.7,s,0.4,1.2,s,s,4.9,7.5,s,44,21,9.4,9.1,16,14,13,4.7,10,13,12,21,6.8,5,2.9,14,9.4,15,14,16,13,4.7,8.5,11,20,9.8,18,18,5.7,17
Tract 96.01,3506,1341,2374,2445,s,s,3,s,s,39,35,s,s,-8.6,7.7,21,11,9.5,3.3,-10,-7.2,s,97,97,s,0.4,0.7,0,0.9,1.5,s,1.2,0.3,s,s,1.3,0.5,s,61,70,15,5.7,8.1,24,11,12,21,15,18,15,18,22,7,3.8,38,34,38,32,29,25,25,21,29,24,29,40,25,23
Tract 96.02,3322,2530,3075,3280,s,s,6.7,s,s,36,30,s,s,-9.7,4.2,5.6,6.7,7.8,0.7,46,23,s,99,98,s,0,0.6,0.9,0.5,1.2,s,0,0.1,s,s,1.7,2.2,s,79,89,22,16,13,18,14,12,4.2,22,13,9.3,19,19,9,14,19,18,13,23,14,10,27,26,16,25,10,24,21,16
