GEO2010,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2010_14,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2010_14,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2010_14,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2010_14,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2010_14,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2010_14,PctHshldPhone_2000,PctHshldPhone_2010_14,PctHshldCar_2000,PctHshldCar_2010_14,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2010_14,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2010_14,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015
Tract 87.02,s,s,26,27,s,31,28,22,24,35,s,s,15,15,s,s,44,53,s,s,44,16,93,92,47,65,s,s,70950,76765,s,s,8.2,427,401,354,440,429,428,423,415,432,503,511,586,632,594,550,565,239,200,192,218,216,193,152,164,167,185,150,173,185,148,145,159,21,27,18,23,24,22,30,21,24,22,26,36,11,12,11,14,44,56,65,84,93,49,49,92,56,57,67,53,59,38,47,60
Tract 88.02,s,s,29,29,s,43,42,27,22,18,s,s,20,19,s,s,39,50,s,s,42,15,95,96,56,61,s,s,60078,73672,s,s,23,907,845,826,940,1117,1171,1113,1057,1174,1378,1497,1534,1576,1618,1398,1363,579,495,470,533,674,667,575,512,553,555,494,499,486,497,435,408,29,24,18,26,20,26,18,18,18,17,13,15,20,17,15,19,51,45,43,44,48,44,47,52,46,45,47,38,48,52,64,54
Tract 88.03,s,s,44,53,s,57,74,21,46,49,s,s,36,26,s,s,36,38,s,s,25,21,92,95,39,43,s,s,27385,25374,s,s,-7.3,398,478,521,556,653,670,648,650,755,764,850,949,1025,1075,991,902,225,296,324,309,351,287,275,244,279,264,286,311,327,309,286,248,55,63,55,81,54,56,59,51,44,32,34,30,32,32,28,31,117,137,149,190,243,139,148,184,161,137,89,136,119,115,96,114
Tract 88.04,s,s,29,30,s,41,18,25,21,25,s,s,11,25,s,s,52,45,s,s,36,20,95,94,45,55,s,s,62026,48049,s,s,-23,575,612,629,724,883,868,802,785,873,1007,1117,1256,1323,1325,1226,1201,391,363,347,374,458,413,426,373,410,400,366,419,463,446,418,405,28,38,31,30,33,35,23,30,26,13,24,23,28,19,25,25,71,71,69,74,71,71,54,40,52,38,42,53,65,60,73,59
Tract 89.03,s,s,23,33,s,36,55,24,13,7.3,s,s,14,17,s,s,47,49,s,s,42,25,94,98,58,47,s,s,46665,39101,s,s,-16,734,688,705,887,1031,1074,1030,936,1027,1223,1314,1440,1432,1419,1251,1235,431,419,417,494,554,544,516,430,461,512,484,487,476,464,435,425,26,17,24,28,25,24,23,26,18,18,17,11,16,14,17,17,46,51,51,62,57,46,56,56,44,54,48,55,56,73,68,72
Tract 89.04,s,s,36,24,s,51,13,22,23,37,s,s,14,22,s,s,44,50,s,s,38,26,93,98,39,51,s,s,36636,52477,s,s,43,882,938,1036,1229,1404,1455,1390,1398,1440,1593,1683,1837,1829,1824,1807,1854,506,545,622,652,762,749,709,665,647,636,587,578,561,537,525,528,37,32,31,38,30,35,32,31,34,32,26,21,28,22,25,24,47,54,55,66,63,70,57,58,43,58,40,42,50,59,49,41
Tract 90,s,s,24,21,s,5.8,0,44,43,38,s,s,10,11,s,s,37,42,s,s,34,19,100,99,58,64,s,s,69733,88479,s,s,27,253,234,234,249,258,277,296,298,313,358,435,554,628,663,605,653,67,66,68,72,74,81,96,74,69,65,88,99,106,114,96,85,5.1,3.8,9.5,6.9,9.2,6.7,5,11,5.3,7.8,2.6,5.5,5.1,5.5,2.9,4.4,28,37,30,45,42,28,28,42,53,48,56,41,39,50,60,36
Tract 91.02,s,s,28,24,s,45,34,26,20,19,s,s,12,12,s,s,44,54,s,s,32,17,99,98,52,60,s,s,67415,59202,s,s,-12,998,1055,1132,1283,1452,1541,1513,1476,1563,1724,1838,2047,2301,2348,2260,2249,674,731,759,777,888,948,895,823,809,838,830,838,920,908,944,885,26,18,23,21,21,24,24,23,24,18,17,21,23,19,24,22,58,46,56,74,77,76,67,65,57,47,42,72,62,81,97,100
Tract 92.01,s,s,24,21,s,21,22,5.8,22,18,s,s,12,18,s,s,52,54,s,s,37,14,100,93,55,73,s,s,44382,111593,s,s,151,174,162,131,159,186,168,169,158,193,274,345,370,351,380,370,365,107,104,84,73,71,82,96,81,92,119,128,151,116,128,104,87,13,14,11,9.2,16,16,10,12,9.7,13,10,8.6,11,8.1,9.6,9.6,59,72,59,56,38,53,31,38,36,30,32,40,29,29,54,57
Tract 92.03,s,s,25,17,s,37,17,23,15,13,s,s,11,21,s,s,54,61,s,s,34,14,98,100,64,65,s,s,58478,93256,s,s,59,494,488,519,597,683,712,685,706,682,782,863,1013,1049,1035,962,970,278,259,298,286,316,333,327,301,304,296,307,322,324,302,279,273,17,13,12,12,8.8,12,12,10,11,13,9.7,7.7,7.4,9.3,11,9.7,30,31,34,29,39,29,19,34,32,29,36,26,24,29,37,34
