GEO2010,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2010_14,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2010_14,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2010_14,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2010_14,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2010_14,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2010_14,PctHshldPhone_2000,PctHshldPhone_2010_14,PctHshldCar_2000,PctHshldCar_2010_14,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2010_14,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2010_14,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015
Tract 95.09,s,s,5.7,4,s,15,2.3,4,2.1,9.9,s,s,4.8,27,s,s,52,50,s,s,25,7.5,100,99,90,90,s,s,86015,85219,s,s,-0.9,159,160,153,189,227,239,247,258,290,353,389,471,509,475,455,458,104,108,104,109,113,128,122,116,136,135,141,143,146,119,118,121,4.1,4.8,6.1,8.2,5.1,5.8,5.1,5.4,5.8,5.1,5.8,3.7,4.8,5.4,3.4,3.4,15,23,25,20,19,20,17,21,20,20,19,18,23,18,32,22
Tract 96.01,s,s,28,43,s,43,68,21,13,5.8,s,s,21,36,s,s,44,33,s,s,31,26,96,100,65,58,s,s,55983,44941,s,s,-20,869,824,895,922,975,1086,1092,1041,1099,1303,1408,1557,1603,1646,1592,1625,506,513,594,585,605,627,617,652,644,734,758,752,771,776,715,695,20,20,26,24,21,36,17,19,26,22,13,17,17,26,36,17,37,47,37,98,56,42,34,58,52,53,57,37,57,42,61,41
Tract 96.02,s,s,33,41,s,34,44,13,59,37,s,s,14,16,s,s,50,51,s,s,35,28,99,98,51,42,s,s,36095,27331,s,s,-24,1091,937,980,984,1032,1098,1094,1075,1062,1136,1317,1440,1464,1617,1664,1798,620,539,533,517,509,555,522,590,537,534,590,597,633,640,654,697,8.8,17,13,17,15,18,13,12,14,13,14,14,11,15,21,14,40,46,46,62,54,46,30,48,44,48,38,29,33,41,38,35
Tract 96.03,s,s,21,18,s,27,4.8,23,18,14,s,s,14,19,s,s,46,47,s,s,22,18,98,99,58,60,s,s,57905,72958,s,s,26,403,437,457,546,609,600,690,729,872,1069,1002,1129,1138,1112,1114,1175,220,236,241,288,336,325,308,364,378,425,378,357,346,292,301,328,21,25,21,27,33,23,21,26,19,23,25,23,31,31,42,31,67,65,60,82,78,45,51,48,54,49,52,45,82,86,124,95
Tract 96.04,s,s,15,10,s,17,2.8,13,18,15,s,s,11,17,s,s,44,50,s,s,31,11,96,99,71,70,s,s,66573,69822,s,s,4.9,505,416,433,513,542,589,610,567,636,730,801,884,935,988,926,958,273,230,227,272,282,281,292,263,257,300,287,291,328,353,324,305,6.5,16,13,8.6,8.6,11,7.6,13,11,11,6.6,9.7,11,17,7.1,6.6,33,32,37,62,36,27,20,30,45,31,24,33,33,33,43,47
Tract 97,s,s,21,32,s,30,40,8.7,4.8,26,s,s,16,30,s,s,53,45,s,s,30,17,94,94,59,65,s,s,51777,51050,s,s,-1.4,665,713,813,917,936,976,1015,982,1096,1241,1408,1492,1620,1639,1642,1629,492,501,530,592,581,598,566,548,568,592,667,664,648,604,622,629,26,15,18,20,17,20,13,20,21,20,17,17,17,16,11,8.2,37,37,23,28,35,26,31,43,31,35,27,29,26,26,23,26
Tract 98.01,s,s,48,40,s,59,57,9.7,7.5,30,s,s,28,28,s,s,41,43,s,s,42,20,97,97,52,46,s,s,37023,42487,s,s,15,1302,1170,1091,1104,1067,671,585,573,626,743,835,907,955,958,981,1042,905,808,775,748,685,433,327,321,375,403,410,375,359,353,377,387,22,39,31,31,26,26,20,30,23,27,22,27,18,14,19,16,37,40,41,45,32,31,29,52,49,41,43,36,33,38,43,51
Tract 98.02,s,s,41,43,s,47,64,32,7.3,19,s,s,29,34,s,s,33,44,s,s,36,22,93,99,47,43,s,s,42594,42103,s,s,-1.2,897,872,1092,1143,1098,1021,896,839,918,1003,1090,1045,1014,1101,1104,1109,600,584,760,781,704,676,535,497,513,527,543,478,448,527,496,469,22,26,29,41,28,21,22,19,18,15,15,17,12,14,7.7,10,44,33,41,41,34,27,32,38,50,22,41,35,29,45,28,31
Tract 98.03,s,s,35,39,s,55,54,22,14,30,s,s,22,35,s,s,48,39,s,s,26,17,96,96,52,54,s,s,44793,34963,s,s,-22,616,597,637,693,626,659,735,756,867,1010,1165,1387,1567,1710,1689,1795,368,354,418,436,370,342,373,394,451,456,481,536,581,667,708,687,29,26,20,19,12,15,16,15,15,20,16,16,17,14,14,11,36,48,52,43,33,48,43,59,49,43,43,34,45,30,34,28
Tract 98.04,s,s,33,28,s,42,51,5.3,36,10,s,s,20,23,s,s,46,57,s,s,30,13,96,94,57,62,s,s,47401,60682,s,s,28,749,684,612,557,630,685,679,742,843,927,1075,1245,1223,1217,1155,1186,504,484,413,373,375,404,396,421,436,444,483,518,473,434,412,373,20,27,20,19,17,16,21,24,29,19,19,27,17,24,17,17,35,34,42,33,36,29,36,44,57,55,59,64,30,40,36,32
Tract 98.07,s,s,19,34,s,33,52,8.1,16,32,s,s,12,34,s,s,49,40,s,s,27,14,94,94,67,61,s,s,67245,60805,s,s,-9.6,778,635,658,695,695,736,791,866,1108,1361,1534,1718,1839,1938,2087,2336,544,418,422,422,375,411,400,458,533,582,527,576,586,613,660,686,21,19,16,19,13,16,12,17,19,13,16,16,24,27,24,21,30,47,48,44,29,37,42,46,48,45,42,34,52,57,58,44
Tract 98.10,s,s,41,37,s,48,37,41,35,32,s,s,22,22,s,s,42,58,s,s,41,13,94,93,49,60,s,s,47627,34783,s,s,-27,1125,999,984,1079,1224,1291,1281,1230,1310,1611,1838,2056,2208,2272,2263,2297,738,712,702,729,805,838,747,686,735,847,892,935,987,997,982,936,31,33,33,30,26,23,21,28,27,32,28,27,24,23,21,15,32,49,43,37,39,53,45,58,53,61,63,43,50,43,37,35
Tract 98.11,s,s,41,35,s,48,51,41,35,21,s,s,22,41,s,s,42,35,s,s,41,17,94,94,49,39,s,s,47627,30264,s,s,-36,1379,1225,1206,1324,1501,1584,1571,1509,1607,1975,2255,2521,2708,2786,2775,2816,906,873,861,894,987,1028,915,841,901,1039,1094,1146,1210,1223,1204,1147,28,22,27,31,22,23,17,18,18,19,16,16,14,14,11,13,38,28,38,44,45,31,42,39,37,33,30,28,28,34,19,20
Tract 99.01,s,s,6.6,5.6,s,3.1,0,5.4,7.1,7.2,s,s,7.8,10,s,s,51,49,s,s,13,5.3,99,95,90,89,s,s,112544,117023,s,s,4,105,109,173,192,231,219,215,235,228,263,323,371,431,482,479,483,55,60,92,112,121,129,107,107,87,97,88,101,123,137,158,163,6.1,10,10,8.3,5.7,4,7.5,7.1,4.9,4.9,6.2,7.1,9.3,2.7,4.4,4.9,32,47,52,71,46,37,22,53,42,48,42,33,36,30,35,29
Tract 99.02,s,s,13,20,s,18,41,12,12,9.1,s,s,15,26,s,s,44,42,s,s,23,15,99,99,75,78,s,s,73580,60130,s,s,-18,277,304,335,383,478,565,625,670,756,919,1117,1400,1532,1599,1544,1661,150,167,195,184,215,227,240,231,291,319,333,349,350,322,319,368,12,17,12,14,12,12,9.3,11,11,10,7.2,10,13,16,13,8.6,39,44,61,79,55,32,36,41,41,38,28,29,49,34,36,33
Tract 99.03,s,s,43,19,s,62,38,45,27,16,s,s,18,8.1,s,s,36,63,s,s,43,12,95,100,44,83,s,s,43133,62656,s,s,45,748,747,692,496,280,240,249,280,393,521,624,705,724,790,708,702,424,430,404,255,131,124,127,133,200,252,269,260,244,241,244,221,26,30,25,9.7,13,8,6.6,8.2,11,11,21,18,8.6,17,17,8.6,52,60,72,91,43,28,29,45,51,47,28,52,30,38,42,36
Tract 99.04,s,s,30,38,s,36,48,5.4,28,32,s,s,13,22,s,s,53,51,s,s,35,19,90,95,57,54,s,s,40908,45437,s,s,11,559,546,570,651,745,710,668,648,669,910,1059,1203,1305,1508,1460,1491,313,360,351,356,433,401,359,336,337,432,450,482,496,579,606,576,22,23,23,18,16,19,19,13,20,21,22,18,20,26,27,18,46,38,55,47,46,25,25,37,43,28,32,34,41,50,49,54
Tract 99.05,s,s,34,23,s,49,31,14,31,15,s,s,19,27,s,s,47,50,s,s,40,15,96,96,52,67,s,s,50769,54125,s,s,6.6,832,826,813,914,904,974,925,897,876,1073,1377,1573,1608,1691,1568,1629,515,559,517,514,535,554,500,466,448,501,607,663,641,654,624,657,22,25,18,16,14,14,20,12,12,15,14,14,13,23,11,16,37,44,50,53,39,34,41,46,43,23,39,26,42,50,53,49
Tract 99.06,s,s,32,27,s,45,28,3.4,21,17,s,s,25,15,s,s,37,47,s,s,33,17,94,99,52,55,s,s,46420,42827,s,s,-7.7,414,501,564,620,702,716,751,655,613,687,771,820,814,859,869,860,296,352,404,407,446,394,405,332,311,317,342,349,349,332,314,293,18,21,20,33,32,28,20,28,28,34,28,32,19,23,25,28,34,27,35,59,44,33,30,52,54,53,50,51,48,46,52,42
Tract 99.07,s,s,42,39,s,60,52,4.8,22,16,s,s,25,31,s,s,37,37,s,s,28,25,94,91,45,41,s,s,47717,40619,s,s,-15,1069,1016,1017,1066,1070,1204,1308,1254,1250,1403,1518,1641,1742,1826,1780,1831,714,737,780,740,700,740,779,749,753,765,706,741,739,768,743,728,23,16,20,14,15,19,14,12,14,14,11,8.8,16,17,13,20,36,35,36,31,24,19,19,26,31,19,24,26,29,29,34,24
Tract 101,s,s,18,14,s,36,0,8.2,5.9,24,s,s,4.2,3.7,s,s,63,74,s,s,12,3.3,97,97,31,47,s,s,57217,128840,s,s,125,83,69,82,82,72,92,166,218,240,144,119,119,126,137,100,84,39,40,63,48,43,42,43,37,21,25,21,8,s,s,s,s,48,32,30,33,33,26,27,25,29,20,18,19,20,16,18,16,509,418,358,238,211,168,153,182,223,178,133,127,152,139,185,157
Tract 102,s,s,12,5.3,s,38,14,6.5,8.8,2,s,s,4.5,4.9,s,s,71,76,s,s,5.4,4.8,98,98,68,67,s,s,115685,150970,s,s,31,50,47,62,54,77,64,56,54,61,56,74,77,77,83,62,69,23,23,31,30,32,27,16,15,17,16,15,11,11,10,5,s,15,21,20,20,17,16,24,21,18,14,12,18,10,13,9.9,15,146,154,97,88,96,104,116,90,92,95,79,81,94,91,106,108
Tract 103,s,s,13,20,s,16,20,9.9,16,14,s,s,6.3,18,s,s,71,57,s,s,18,14,97,98,80,73,s,s,98687,76765,s,s,-22,191,185,161,173,196,213,232,250,264,324,365,421,484,513,495,473,105,97,85,81,98,89,97,109,107,125,128,125,153,148,146,133,8.2,6.6,10,12,10,8.5,12,10,9.4,9.9,8.2,8.2,4.7,7.2,3.5,5.6,31,38,35,38,34,36,27,32,33,28,27,29,19,26,32,24
Tract 104,s,s,27,32,s,44,52,13,4.3,11,s,s,21,25,s,s,41,43,s,s,41,17,93,95,61,61,s,s,60487,52535,s,s,-13,900,909,1014,1118,1239,1330,1452,1527,1599,1868,2114,2329,2418,2569,2602,2555,554,602,631,687,767,740,646,657,679,722,785,794,796,828,868,824,29,32,33,28,26,25,25,36,33,33,28,34,31,36,30,33,37,44,54,45,41,42,49,51,60,51,57,73,50,63,60,49
Tract 105,s,s,23,9.5,s,49,7.5,8.1,2.2,1.9,s,s,12,7.8,s,s,66,74,s,s,16,6.1,99,94,54,49,s,s,63027,129916,s,s,106,530,532,579,612,694,660,614,562,569,641,720,790,838,810,799,778,292,272,266,270,319,315,282,261,255,257,290,291,298,320,311,283,25,20,16,17,16,15,16,19,11,12,9.1,7.9,8.2,6.7,4.7,5.9,73,77,67,59,43,38,49,35,23,21,22,27,32,33,31,33
Tract 106,s,s,25,21,s,29,27,32,23,34,s,s,18,10,s,s,48,72,s,s,33,9.6,97,96,65,66,s,s,63807,116526,s,s,83,928,844,977,1087,1308,1185,922,961,941,1221,1182,1140,1047,1068,959,867,492,460,468,436,444,408,328,257,231,284,292,254,232,210,210,181,58,56,53,53,53,35,32,43,39,38,31,34,33,21,21,22,176,165,143,147,177,124,161,159,132,125,97,112,147,136,147,132
Tract 107,s,s,13,21,s,0,i,13,14,0,s,s,2.2,4.7,s,s,74,69,s,s,3,3.7,99,99,40,36,s,s,161670,85913,s,s,-47,6,5,s,7,s,s,6,7,6,7,8,13,21,18,12,13,0,0,0,s,0,s,s,0,0,0,s,6,8,8,s,s,70,68,60,67,60,48,56,44,46,39,41,60,40,36,29,34,1087,884,797,671,493,527,422,387,447,426,403,383,411,369,404,442
Tract 108,s,s,54,37,s,56,i,7.3,17,0.6,s,s,60,9.1,s,s,31,29,s,s,3.8,4.4,99,97,24,26,s,s,40019,41467,s,s,3.6,11,6,10,s,16,14,10,36,49,39,45,48,37,41,11,9,s,s,0,0,7,5,s,23,27,19,25,33,27,24,11,0,6.1,5.8,3.6,3,3.5,2.1,1.6,1.4,3.5,2.9,2.8,4.5,2.2,1.6,2.7,2.7,78,54,50,47,34,43,34,27,30,24,24,28,33,28,36,38
Tract 109,s,s,38,54,s,41,59,20,22,26,s,s,34,34,s,s,44,35,s,s,30,17,95,95,48,48,s,s,44126,34994,s,s,-21,637,673,728,844,750,806,927,1100,1050,1178,1408,1531,1570,1675,1704,1649,406,510,561,609,488,479,464,585,547,530,594,600,606,611,660,620,23,17,19,15,15,14,14,27,17,19,15,14,12,12,12,13,44,63,58,48,38,44,54,61,63,74,63,37,35,22,30,27
Tract 110,s,s,15,3.9,s,29,0,7,7.4,3.7,s,s,7.5,7.4,s,s,57,71,s,s,15,1,98,98,73,74,s,s,73628,133464,s,s,81,71,62,75,134,161,154,146,134,175,197,226,222,224,209,197,209,38,37,40,67,81,80,73,66,77,78,77,73,67,58,49,45,3.4,3.1,3.7,6.6,4,3.7,4.3,9.3,6.4,3,5.1,5.9,3,2.4,1.6,3,19,17,18,15,11,16,13,15,15,16,13,15,16,16,13,13
Tract 111,s,s,16,18,s,21,4.8,12,12,26,s,s,15,22,s,s,44,48,s,s,27,18,99,98,82,79,s,s,75652,104598,s,s,38,582,493,549,659,817,812,730,743,874,1054,1139,1331,1443,1468,1436,1409,293,256,313,323,433,420,356,329,339,345,365,374,398,432,441,421,23,26,21,30,19,26,17,20,13,17,19,17,20,14,14,14,93,108,89,89,79,94,66,86,62,75,74,78,81,82,95,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
