proj_name,cluster_tr2000_name,ward2012,total_subsidized_units
"Villages Of Parklands-Manor Village Apts. (Parkland Manor)","Douglas, Shipley Terrace","Ward 8",347
"Morris Road","Historic Anacostia","Ward 8",30
"Freedom House","Historic Anacostia","Ward 8",30
"Belmont Crossing (Jeffrey Gardens)","Congress Heights, Bellevue, Washington Highlands","Ward 8",273
"Parkway Overlook East & West","Douglas, Shipley Terrace","Ward 8",266
"Stanton Park Apts - Wagner","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",26
"Meadowbrook Run (Trenton Park)","Congress Heights, Bellevue, Washington Highlands","Ward 8",259
"Southern Hills Apts","Congress Heights, Bellevue, Washington Highlands","Ward 8",255
"Otto B. Berg Apts","Douglas, Shipley Terrace","Ward 8",25
"Shipley Park Apts","Douglas, Shipley Terrace","Ward 8",237
"Woodland Terrace","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",234
"Villages Of Parklands-Garden Village Apts (Parkland Manor)","Douglas, Shipley Terrace","Ward 8",230
"Oxford Manor","Sheridan, Barry Farm, Buena Vista","Ward 8",227
"Rockburne Estates","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",224
"Congress Park II","Douglas, Shipley Terrace","Ward 8",214
"Highland Dwellings","Congress Heights, Bellevue, Washington Highlands","Ward 8",208
"Huntington Village","Douglas, Shipley Terrace","Ward 8",204
"Hunter Pines","Douglas, Shipley Terrace","Ward 8",202
"Overlook at Oxon Run (Formerly Parkside Terrace Apts)","Congress Heights, Bellevue, Washington Highlands","Ward 8",201
"Elvans Road","Sheridan, Barry Farm, Buena Vista","Ward 8",20
"Veterans Center Annex Apts (Community Family Life Services)","Congress Heights, Bellevue, Washington Highlands","Ward 8",20
"Atlantic Terrace","Congress Heights, Bellevue, Washington Highlands","Ward 8",196
"Douglas Knoll Apts","Douglas, Shipley Terrace","Ward 8",185
"Village at Chesapeake","Congress Heights, Bellevue, Washington Highlands","Ward 8",180
"Wheeler Creek","Congress Heights, Bellevue, Washington Highlands","Ward 8",180
"W Street Apts","Historic Anacostia","Ward 8",18
"Woodmont Crossing (Homes at Woodmont)","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",176
"Congress Park I (Congress Park Plaza Apts)","Douglas, Shipley Terrace","Ward 8",163
"Orchard Park (Formerly Southview Apts II)","Douglas, Shipley Terrace","Ward 8",159
"Henson Ridge Phase II","Douglas, Shipley Terrace","Ward 8",156
"Frederick Douglass (Douglas Glen Gardens)","Historic Anacostia","Ward 8",152
"Washington View Apts","Sheridan, Barry Farm, Buena Vista","Ward 8",15
"Four Walls Development","Historic Anacostia","Ward 8",15
"1728 W St SE","Historic Anacostia","Ward 8",15
"Widrich Courts (Friendship Courts)","Congress Heights, Bellevue, Washington Highlands","Ward 8",136
"Finsbury Square Apts","Historic Anacostia","Ward 8",134
"Hope Apts (Community Of Hope Inc.)","Congress Heights, Bellevue, Washington Highlands","Ward 8",13
"Parkchester Housing Coop (New Parkchester)","Sheridan, Barry Farm, Buena Vista","Ward 8",128
"Barnaby Manor (The Gregory)","Congress Heights, Bellevue, Washington Highlands","Ward 8",126
"Royal Courts Apts (Bowling Green Apts)","Congress Heights, Bellevue, Washington Highlands","Ward 8",126
"River Hill Apts (Bolling View)","Congress Heights, Bellevue, Washington Highlands","Ward 8",126
"Woodberry Village (Savannah Ridge)","Douglas, Shipley Terrace","Ward 8",124
"Henson Ridge I","Douglas, Shipley Terrace","Ward 8",124
"Knox Hill Senior","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",122
"Wade Apts","Sheridan, Barry Farm, Buena Vista","Ward 8",12
"Zagami House Apartments","Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont","Ward 8",12
"Highland Addition","Congress Heights, Bellevue, Washington Highlands","Ward 8",118
"Langston Lane","Woodland/Fort Stanton, Garfield Heights, Knox Hill","Ward 8",117
"Wheeler Terrace Apts","Congress Heights, Bellevue, Washington Highlands","Ward 8",113
"Crescent Park Village","Congress Heights, Bellevue, Washington Highlands","Ward 8",110
"Agape Apts","Congress Heights, Bellevue, Washington Highlands","Ward 8",11
"4180 Livingston Rd SE (Salihi Halefizullah)","Congress Heights, Bellevue, Washington Highlands","Ward 8",11
"Atlantic Gardens","Congress Heights, Bellevue, Washington Highlands","Ward 8",108
"Southern Ridge Apts","Congress Heights, Bellevue, Washington Highlands","Ward 8",105
"Savannah Heights Apts","Congress Heights, Bellevue, Washington Highlands","Ward 8",100
