proj_name,cluster_tr2000_name,ward2012,total_subsidized_units
"Kara House Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",13
"526 Kenyon St NW","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",13
"New Beginnings Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",13
"Ledroit Apts","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",124
"Trinity Towers","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",122
"Claypoole Courts (Parcel Five Apts)","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",122
"1327 Kenyon St Cooperative","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",12
"Jubilee Housing Renovation","Kalorama Heights, Adams Morgan, Lanier Heights","Ward 1",118
"Faircliff Plaza West","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",112
"1430 Chapin Street, NW","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","Ward 1",11
"Capitol Manor Cooperative","Howard University, Le Droit Park, Cardozo/Shaw","Ward 1",102
"Fifteenth Street Cooperative","Howard University, Le Droit Park, Cardozo/Shaw","Ward 2",0
"IDI Facilities","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 2",0
"N Street Village (Eden House)","Shaw, Logan Circle","Ward 2",94
"Plymouth Apts (MLK Jr Latino Cooperative)","Shaw, Logan Circle","Ward 2",74
"Anna Cooper House","Shaw, Logan Circle","Ward 2",50
"Ritch Homes","Shaw, Logan Circle","Ward 2",42
"Claridge Towers","Shaw, Logan Circle","Ward 2",343
"Eleventh Street Apts","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 2",31
"Chastleton Apts","Dupont Circle, Connecticut Avenue/K Street","Ward 2",300
"1425 T Street Cooperative","Howard University, Le Droit Park, Cardozo/Shaw","Ward 2",30
"Judiciary House","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 2",271
"Mount Vernon Plaza Apts","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 2",250
"King Towers","Shaw, Logan Circle","Ward 2",25
"Burke Park Apts","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 2",160
"Wah Luck House","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 2",152
"James Apts","Shaw, Logan Circle","Ward 2",141
"St. Mary's Court","West End, Foggy Bottom, GWU","Ward 2",140
"The Gilbertson Haass House","Howard University, Le Droit Park, Cardozo/Shaw","Ward 2",13
"R Street Apts","Shaw, Logan Circle","Ward 2",124
"Logan Circle Apartments","Shaw, Logan Circle","Ward 2",124
"Horizon House","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 2",105
"Green Door","Dupont Circle, Connecticut Avenue/K Street","Ward 2",10
"Friendship Terrace","Friendship Heights, American University Park, Tenleytown","Ward 3",199
"Beecher Cooperative","Cathedral Heights, McLean Gardens, Glover Park","Ward 3",18
"Regency House","Hawthorne, Barnaby Woods, Chevy Chase","Ward 3",160
"Kennedy Institute","Friendship Heights, American University Park, Tenleytown","Ward 3",15
Kennedy,"Takoma, Brightwood, Manor Park","Ward 4",0
"Petworth Station Apts","Brightwood Park, Crestwood, Petworth","Ward 4",78
"Residences at Georgia Avenue","Brightwood Park, Crestwood, Petworth","Ward 4",72
"Piney Branch House","Takoma, Brightwood, Manor Park","Ward 4",6
"Fort Stevens Hill Apts","Takoma, Brightwood, Manor Park","Ward 4",59
"Colony House","Brightwood Park, Crestwood, Petworth","Ward 4",57
"Johnson Towers","Brightwood Park, Crestwood, Petworth","Ward 4",55
"Upshur House (Moore Tower)","Brightwood Park, Crestwood, Petworth","Ward 4",44
"Capital Commons","Brightwood Park, Crestwood, Petworth","Ward 4",40
"Brightwood Manor","Brightwood Park, Crestwood, Petworth","Ward 4",39
"Colorado Ave NW Cooperative","Brightwood Park, Crestwood, Petworth","Ward 4",36
"5320 8th St NW","Brightwood Park, Crestwood, Petworth","Ward 4",36
"5401-5407 9th St NW","Brightwood Park, Crestwood, Petworth","Ward 4",34
"Longfellow Arms","Brightwood Park, Crestwood, Petworth","Ward 4",30
"Victory Hills (4211 2nd St Apts)","Brightwood Park, Crestwood, Petworth","Ward 4",23
"Colorado Apts","Brightwood Park, Crestwood, Petworth","Ward 4",21
"Georgia Commons","Brightwood Park, Crestwood, Petworth","Ward 4",130
"Partner Arms II","Brightwood Park, Crestwood, Petworth","Ward 4",13
"5030 First St NW","Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill","Ward 4",12
"Aspen Court","Takoma, Brightwood, Manor Park","Ward 4",105
"5311 8th St NW","Brightwood Park, Crestwood, Petworth","Ward 4",10
