CLUSTER_TR2000,forecl_ssl_sf_condo_1995,forecl_ssl_sf_condo_1996,forecl_ssl_sf_condo_1997,forecl_ssl_sf_condo_1998,forecl_ssl_sf_condo_1999,forecl_ssl_sf_condo_2000,forecl_ssl_sf_condo_2001,forecl_ssl_sf_condo_2002,forecl_ssl_sf_condo_2003,forecl_ssl_sf_condo_2004,forecl_ssl_sf_condo_2005,forecl_ssl_sf_condo_2006,forecl_ssl_sf_condo_2007,forecl_ssl_sf_condo_2008,forecl_ssl_sf_condo_2009,forecl_ssl_sf_condo_2010,forecl_ssl_sf_condo_2011,forecl_ssl_sf_condo_2012,forecl_ssl_sf_condo_2013,forecl_ssl_1kpcl_sf_condo_1995,forecl_ssl_1kpcl_sf_condo_1996,forecl_ssl_1kpcl_sf_condo_1997,forecl_ssl_1kpcl_sf_condo_1998,forecl_ssl_1kpcl_sf_condo_1999,forecl_ssl_1kpcl_sf_condo_2000,forecl_ssl_1kpcl_sf_condo_2001,forecl_ssl_1kpcl_sf_condo_2002,forecl_ssl_1kpcl_sf_condo_2003,forecl_ssl_1kpcl_sf_condo_2004,forecl_ssl_1kpcl_sf_condo_2005,forecl_ssl_1kpcl_sf_condo_2006,forecl_ssl_1kpcl_sf_condo_2007,forecl_ssl_1kpcl_sf_condo_2008,forecl_ssl_1kpcl_sf_condo_2009,forecl_ssl_1kpcl_sf_condo_2010,forecl_ssl_1kpcl_sf_condo_2011,forecl_ssl_1kpcl_sf_condo_2012,forecl_ssl_1kpcl_sf_condo_2013,trustee_ssl_sf_condo_1995,trustee_ssl_sf_condo_1996,trustee_ssl_sf_condo_1997,trustee_ssl_sf_condo_1998,trustee_ssl_sf_condo_1999,trustee_ssl_sf_condo_2000,trustee_ssl_sf_condo_2001,trustee_ssl_sf_condo_2002,trustee_ssl_sf_condo_2003,trustee_ssl_sf_condo_2004,trustee_ssl_sf_condo_2005,trustee_ssl_sf_condo_2006,trustee_ssl_sf_condo_2007,trustee_ssl_sf_condo_2008,trustee_ssl_sf_condo_2009,trustee_ssl_sf_condo_2010,trustee_ssl_sf_condo_2011,trustee_ssl_sf_condo_2012,trustee_ssl_sf_condo_2013,trustee_ssl_1kpcl_sf_condo_1995,trustee_ssl_1kpcl_sf_condo_1996,trustee_ssl_1kpcl_sf_condo_1997,trustee_ssl_1kpcl_sf_condo_1998,trustee_ssl_1kpcl_sf_condo_1999,trustee_ssl_1kpcl_sf_condo_2000,trustee_ssl_1kpcl_sf_condo_2001,trustee_ssl_1kpcl_sf_condo_2002,trustee_ssl_1kpcl_sf_condo_2003,trustee_ssl_1kpcl_sf_condo_2004,trustee_ssl_1kpcl_sf_condo_2005,trustee_ssl_1kpcl_sf_condo_2006,trustee_ssl_1kpcl_sf_condo_2007,trustee_ssl_1kpcl_sf_condo_2008,trustee_ssl_1kpcl_sf_condo_2009,trustee_ssl_1kpcl_sf_condo_2010,trustee_ssl_1kpcl_sf_condo_2011,trustee_ssl_1kpcl_sf_condo_2012,trustee_ssl_1kpcl_sf_condo_2013
Cluster 20,28,22,25,43,51,57,50,39,43,41,26,36,41,62,73,84,0,i,i,8.4,6.6,7.5,13,15,17,15,12,13,12,7.7,11,12,18,21,25,0,i,i,6,9,4,10,14,11,16,9,1,2,3,1,8,27,15,20,4,i,i,1.8,2.7,1.2,3,4.2,3.3,4.8,2.7,0.3,0.6,0.9,0.3,2.3,7.9,4.4,5.8,1.2,i,i
Cluster 21,60,98,120,146,151,140,114,90,86,65,34,55,115,160,203,168,67,i,i,16,26,31,38,39,37,30,23,22,16,8.4,13,26,36,46,38,15,i,i,16,22,54,73,76,58,61,29,3,3,5,8,37,70,47,57,16,i,i,4.2,5.8,14,19,20,15,16,7.5,0.8,0.8,1.2,1.9,8.5,16,11,13,3.5,i,i
Cluster 22,21,30,34,53,54,44,44,43,40,33,22,35,45,60,87,73,0,i,i,9.7,14,16,25,25,20,20,20,18,15,9.9,16,20,27,38,32,0,i,i,8,15,13,11,21,22,13,8,2,2,0,5,13,17,27,16,4,i,i,3.7,6.9,6,5.1,9.7,10,6,3.7,0.9,0.9,0,2.2,5.8,7.6,12,7.1,1.8,i,i
Cluster 23,32,49,71,74,83,75,80,71,70,44,28,32,49,92,127,119,0,i,i,16,25,36,38,42,38,41,36,36,22,14,16,24,44,60,55,0,i,i,12,12,25,40,39,44,41,27,7,7,6,5,22,29,31,44,10,i,i,6.1,6.1,13,20,20,22,21,14,3.6,3.6,3.1,2.5,11,14,15,20,4.6,i,i
Cluster 24,38,61,69,74,87,79,69,72,62,49,50,56,63,134,139,119,2,i,i,10,17,19,20,24,21,19,20,17,13,13,14,16,34,36,30,0.5,i,i,10,16,18,19,34,16,22,17,3,1,5,8,17,41,41,31,16,i,i,2.7,4.3,4.9,5.2,9.2,4.3,6,4.6,0.8,0.3,1.3,2.1,4.4,10,10,7.9,4.1,i,i
Cluster 25,112,130,156,176,194,152,166,154,132,85,70,80,146,222,220,651,1,i,i,14,17,20,23,25,20,21,20,17,11,8.9,10,18,27,25,75,0.1,i,i,35,57,72,77,78,74,63,50,4,15,12,13,32,84,75,523,12,i,i,4.5,7.4,9.3,9.9,10,9.6,8.1,6.4,0.5,1.9,1.5,1.6,4,10,8.7,61,1.4,i,i
Cluster 26,45,56,49,74,66,68,40,49,38,27,25,21,40,62,68,64,0,i,i,10,13,11,17,15,15,9.1,11,8.5,6,5.4,4.5,8.4,13,14,13,0,i,i,11,22,15,25,19,29,16,4,0,1,3,2,7,20,17,17,4,i,i,2.5,5,3.4,5.7,4.3,6.6,3.6,0.9,0,0.2,0.6,0.4,1.5,4.2,3.5,3.5,0.8,i,i
Cluster 27,8,10,10,17,17,17,17,15,15,3,8,6,9,18,29,13,0,i,i,15,19,19,32,32,32,32,28,28,5.6,15,9.3,14,20,32,14,0,i,i,7,6,5,6,11,7,10,9,0,0,0,0,0,9,6,4,1,i,i,13,11,9.4,11,21,13,19,17,0,0,0,0,0,9.9,6.6,4.4,0.9,i,i
Cluster 28,21,25,27,31,41,32,17,30,33,23,7,15,25,41,59,48,0,i,i,31,37,40,46,61,48,25,41,45,31,9.3,19,31,49,70,57,0,i,i,6,4,13,7,15,8,10,10,3,3,1,1,9,13,23,25,7,i,i,9,6,19,10,22,12,15,14,4.1,4,1.3,1.3,11,15,27,30,8.3,i,i
Cluster 29,5,5,3,7,9,10,5,9,12,4,8,3,7,5,24,18,0,i,i,13,13,8,19,24,27,13,24,32,11,21,7.9,19,13,63,48,0,i,i,1,1,2,0,1,2,1,1,1,2,1,0,1,0,3,7,1,i,i,2.7,2.7,5.3,0,2.7,5.3,2.7,2.7,2.7,5.3,2.6,0,2.6,0,7.9,19,2.7,i,i
