CLUSTER_TR2000,NumOccupiedHsgUnits_1980,NumOccupiedHsgUnits_1990,NumOccupiedHsgUnits_2000,NumOccupiedHsgUnits_2010,PctSameHouse5YearsAgo_1990,PctSameHouse5YearsAgo_2000,PctVacantHsgUnitsForRent_1980,PctVacantHsgUnitsForRent_1990,PctVacantHsgUnitsForRent_2000,PctVacantHsgUnitsForRent_2010_14,PctOwnerOccupiedHsgUnits_1980,PctOwnerOccupiedHsgUnits_1990,PctOwnerOccupiedHsgUnits_2000,PctOwnerOccupiedHsgUnits_2010_14,sales_sf_1995,sales_sf_1996,sales_sf_1997,sales_sf_1998,sales_sf_1999,sales_sf_2000,sales_sf_2001,sales_sf_2002,sales_sf_2003,sales_sf_2004,sales_sf_2005,sales_sf_2006,sales_sf_2007,sales_sf_2008,sales_sf_2009,sales_sf_2010,sales_sf_2011,sales_sf_2012,sales_sf_2013,sales_sf_2014,sales_sf_2015,r_mprice_sf_1995,r_mprice_sf_1996,r_mprice_sf_1997,r_mprice_sf_1998,r_mprice_sf_1999,r_mprice_sf_2000,r_mprice_sf_2001,r_mprice_sf_2002,r_mprice_sf_2003,r_mprice_sf_2004,r_mprice_sf_2005,r_mprice_sf_2006,r_mprice_sf_2007,r_mprice_sf_2008,r_mprice_sf_2009,r_mprice_sf_2010,r_mprice_sf_2011,r_mprice_sf_2012,r_mprice_sf_2013,r_mprice_sf_2014,r_mprice_sf_2015,PctAnnChgRMPriceSf_10yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_1yr,NumMrtgOrigHomePurchPerUnit_1997,NumMrtgOrigHomePurchPerUnit_1998,NumMrtgOrigHomePurchPerUnit_1999,NumMrtgOrigHomePurchPerUnit_2000,NumMrtgOrigHomePurchPerUnit_2001,NumMrtgOrigHomePurchPerUnit_2002,NumMrtgOrigHomePurchPerUnit_2003,NumMrtgOrigHomePurchPerUnit_2004,NumMrtgOrigHomePurchPerUnit_2005,NumMrtgOrigHomePurchPerUnit_2006,MedianMrtgInc1_4m_adj_1997,MedianMrtgInc1_4m_adj_1998,MedianMrtgInc1_4m_adj_1999,MedianMrtgInc1_4m_adj_2000,MedianMrtgInc1_4m_adj_2001,MedianMrtgInc1_4m_adj_2002,MedianMrtgInc1_4m_adj_2003,MedianMrtgInc1_4m_adj_2004,MedianMrtgInc1_4m_adj_2005,MedianMrtgInc1_4m_adj_2006,PctSubprimeConvOrigHomePur_1997,PctSubprimeConvOrigHomePur_1998,PctSubprimeConvOrigHomePur_1999,PctSubprimeConvOrigHomePur_2000,PctSubprimeConvOrigHomePur_2001,PctSubprimeConvOrigHomePur_2002,PctSubprimeConvOrigHomePur_2003,PctSubprimeConvOrigHomePur_2004,PctSubprimeConvOrigHomePur_2005,PctSubprimeConvOrigHomePur_2006
Cluster 26,8281,7637,8221,8324,43,41,5.9,11,6,8.6,44,51,52,57,161,210,228,314,299,246,253,264,251,281,272,203,179,158,171,171,193,192,206,189,184,197000,208000,215000,224000,230000,277000,368000,426000,484000,647000,659000,686000,641000,597000,626000,664000,603000,638000,699000,730000,764000,1.5,2.8,4.7,43,65,69,66,65,76,70,79,83,71,80444,83616,87035,107195,112347,112223,117534,132613,153392,156269,4.3,3.9,1.8,5.1,4.8,2.3,1.2,2.4,5.1,5.8
Cluster 27,2117,1891,1974,3172,53,50,4.2,6,3.9,3.6,15,17,17,29,21,22,32,31,37,40,38,41,34,34,25,24,17,16,61,61,66,76,32,30,37,110000,111000,135000,121000,125000,164000,147000,287000,332000,376000,503000,517000,546000,497000,686000,749000,773000,789000,584000,556000,670000,2.9,-2.2,20,41,33,41,68,53,68,52,62,56,237,92963,64540,62450,73905,99197,81928,85351,113483,115945,122641,4.5,13,32,7.1,7,8.3,6,5.3,5.6,5.7
Cluster 28,1954,1974,1726,1864,56,60,14,12,14,13,24,24,26,27,20,18,24,38,42,31,32,23,20,42,50,38,26,18,9,11,13,18,16,23,14,93000,112000,104000,89000,95000,102000,127000,153000,154000,184000,246000,304000,317000,282000,i,221000,206000,202000,207000,271000,344000,3.4,9.3,27,12,15,30,29,41,76,47,100,129,112,44744,42992,53278,46705,52629,52060,52486,63846,71657,84077,0,75,40,31,11,0,3,10,24,16
Cluster 29,874,506,722,786,60,55,4.7,46,11,3,40,68,43,45,10,7,11,17,12,5,6,13,12,14,15,14,8,3,3,7,2,3,4,14,11,140000,i,141000,169000,111000,i,i,180000,137000,213000,315000,392000,i,i,i,i,i,i,i,286000,368000,1.6,i,29,7.3,22,21,12,16,26,15,47,40,31,44268,55477,49109,61890,83884,71808,56166,60408,92603,121215,0,50,20,0,0,22,30,14,26,24
Cluster 30,2917,2461,2621,2883,60,57,7.8,6.4,9.9,6,25,27,29,20,19,31,26,41,28,34,17,26,29,27,33,21,22,7,6,11,18,11,8,25,8,101000,115000,108000,121000,139000,118000,162000,138000,160000,168000,245000,326000,277000,i,i,214000,217000,202000,i,256000,i,i,i,i,20,19,19,39,24,31,40,58,54,62,22084,42268,25144,45008,49547,52656,55304,55571,67793,79032,38,38,45,32,0,9.4,12,20,19,9.6
Cluster 31,6277,5761,5298,5473,66,64,4.3,5.1,7.5,9.2,40,44,46,43,68,106,115,136,127,134,114,128,107,185,194,165,118,46,36,53,71,82,87,78,84,114000,108000,104000,110000,102000,101000,123000,138000,160000,180000,246000,291000,306000,282000,241000,221000,206000,207000,209000,237000,274000,1.1,4.4,16,17,24,23,30,30,37,36,67,78,101,46688,41868,46021,43951,43961,51920,54895,61140,73527,77070,24,48,28,17,8.8,4.5,9.5,14,27,24
Cluster 32,6642,6135,5522,5702,64,57,2.8,6.7,7,8,26,31,31,30,48,71,54,61,76,67,73,72,49,78,91,61,56,29,21,20,23,27,47,34,47,128000,124000,123000,109000,111000,121000,147000,157000,171000,191000,240000,291000,289000,255000,241000,212000,195000,212000,214000,222000,250000,0.4,3.3,13,13,14,24,29,27,25,28,74,65,46,45785,46192,40239,46643,52194,55090,51739,50717,65900,66604,0,27,32,26,5.4,8.9,12,14,18,20
Cluster 33,7674,7018,5893,5866,68,63,3,5.1,12,9.1,30,32,37,37,62,65,72,89,86,82,87,92,85,120,129,117,100,99,113,78,49,86,112,59,59,121000,124000,122000,121000,115000,118000,131000,146000,160000,181000,249000,287000,323000,348000,346000,335000,255000,252000,229000,281000,267000,0.7,-4.5,-5,33,21,20,28,21,23,33,55,57,73,49842,49835,49032,37723,41855,41941,54967,63196,69315,72371,17,25,21,16,2.1,14,8.4,8.3,25,18
Cluster 34,7319,6928,6719,6597,68,62,3.8,7.7,11,12,46,48,49,48,94,104,119,135,139,102,97,96,88,120,116,91,79,35,29,49,45,68,67,82,80,142000,131000,136000,135000,138000,142000,153000,170000,203000,224000,296000,326000,323000,299000,284000,262000,260000,247000,244000,292000,300000,0.1,2.7,2.7,17,22,29,29,27,26,34,39,46,43,52342,52046,52158,52263,56348,60526,66323,73431,81971,84938,6.7,21,29,7.6,12,8.4,13,17,27,23
Cluster 35,4278,4093,3883,3871,66,64,3.2,4.3,6.3,11,48,46,44,40,37,43,36,41,31,24,29,28,37,41,23,35,15,16,6,8,4,14,24,19,16,209000,199000,195000,213000,189000,229000,224000,281000,312000,358000,426000,462000,431000,476000,i,i,i,327000,334000,409000,462000,0.8,i,13,18,24,22,28,30,32,44,60,68,91,57203,60032,56652,62362,68353,63442,80536,76272,78564,71314,14,14,16,9.8,8.5,0,13,12,21,12
Cluster 36,2389,2394,2347,2725,48,43,7.8,9.7,13,5.7,8.9,9.1,15,9.9,11,13,12,27,23,11,12,9,5,9,7,9,7,2,4,4,1,0,6,5,8,176000,127000,183000,176000,173000,135000,201000,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,13,28,30,32,54,20,22,20,32,89,59001,58475,55132,63276,51948,53512,56298,77158,90264,66205,0,8.3,6.7,15,2.8,17,18,7.7,20,7
Cluster 37,3221,2643,2745,2851,48,58,9.4,17,7.3,4.1,16,17,15,17,17,8,23,12,15,13,33,36,33,27,21,33,11,22,10,14,14,22,16,4,9,102000,i,94000,77000,77000,74000,133000,151000,174000,172000,194000,255000,306000,319000,241000,211000,291000,301000,214000,i,i,i,i,i,16,21,6.6,12,34,58,105,85,67,73,40147,26633,37964,30055,59593,48780,51569,53579,61815,79151,44,88,0,20,11,2.5,5.8,4.4,10,13
Cluster 38,4109,3372,3196,3628,58,56,8.4,17,6.4,4.4,9,12,13,14,14,13,13,10,16,36,22,52,18,32,48,84,64,71,21,26,19,16,26,30,19,104000,99000,96000,93000,99000,164000,138000,176000,177000,178000,245000,311000,343000,348000,327000,318000,288000,250000,262000,259000,260000,0.6,-4,0.4,7.1,5.5,46,55,51,51,17,44,105,106,22481,45044,52990,47156,47830,44684,56118,56506,59338,73765,0,0,38,18,5.9,4,12,16,20,21
Cluster 39,14437,13379,11577,12474,56,55,6.1,12,13,8.4,18,20,24,23,53,86,72,131,128,126,97,91,102,151,126,154,90,57,33,50,46,29,45,48,81,128000,123000,114000,111000,128000,135000,145000,165000,173000,195000,240000,306000,321000,288000,236000,235000,205000,190000,189000,250000,280000,1.6,3.6,12,12,15,22,22,29,35,32,44,59,100,47720,36764,43673,38653,59204,58857,61061,64101,73047,72881,14,17,23,27,7.7,11,4.7,12,23,16
Non-cluster area,1644,2355,1954,2410,28,18,3.3,6.3,3.5,16,3.8,6.8,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,i,22,22,27,23,29,22,20,19,35,15,19499,112998,60477,51881,54673,69478,22389,45068,106710,106446,7.4,0,0,3.3,2.9,7.7,0,0,23,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
