CLUSTER_TR2000,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2010_14,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2010_14,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2010_14,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2010_14,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2010_14,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2010_14,PctHshldPhone_2000,PctHshldPhone_2010_14,PctHshldCar_2000,PctHshldCar_2010_14,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2010_14,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2010_14,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015
Cluster 20,7.8,4.4,8.7,10,3.3,11,7.6,6.8,7,9.8,4.4,4.8,9.1,19,63,63,51,49,25,21,19,8.9,99,100,86,85,84530,101989,90087,85848,21,-12,-4.7,418,409,403,484,581,617,638,681,758,923,1068,1319,1384,1314,1269,1286,284,279,267,273,275,313,305,286,336,332,388,428,414,379,371,358,7.1,7.9,7.4,6.7,6.3,9.5,9.3,9.4,6.9,6.6,7,5.7,7.4,7.1,5.9,5.3,28,33,32,32,28,33,29,27,29,28,28,32,37,33,47,39
Cluster 21,23,17,23,19,20,31,25,19,19,19,8.7,11,15,13,52,57,49,64,51,38,31,13,96,97,57,67,58262,66251,62996,97996,14,-4.9,56,3464,3298,3281,3600,3913,3908,3571,3441,3520,4040,4425,5080,5040,4950,4555,4518,1989,1802,1800,1745,1877,1809,1622,1468,1467,1533,1509,1598,1492,1382,1285,1195,19,21,18,18,17,18,18,15,14,16,14,14,14,11,11,12,43,47,48,58,52,43,36,51,42,39,39,43,52,40,56,51
Cluster 22,20,16,21,17,23,33,24,19,14,15,6.4,10,12,14,56,54,49,57,38,34,26,13,98,97,67,72,64583,71219,77515,82465,10,8.8,6.4,1262,1338,1476,1688,1873,2029,2021,1943,2026,2302,2494,2803,3113,3166,2998,2991,825,902,970,975,1098,1195,1150,1027,970,1042,1042,1052,1139,1119,1121,1041,21,17,21,19,18,23,20,22,24,18,15,17,19,18,18,21,67,64,61,69,69,65,62,62,57,53,60,63,71,86,103,101
Cluster 23,25,23,31,31,31,45,39,25,22,20,7.8,11,18,21,51,53,43,47,57,48,39,21,94,96,49,53,45861,50306,49107,52566,9.7,-2.4,7,3496,3559,3716,4335,5087,5236,4982,4824,5268,5964,6460,7016,7185,7260,6673,6555,2132,2116,2178,2360,2798,2660,2500,2224,2348,2366,2216,2293,2312,2252,2098,2014,34,32,29,37,30,34,29,29,27,22,22,19,24,20,21,23,62,65,67,78,84,68,66,70,62,61,51,58,63,67,67,64
Cluster 24,10,11,15,18,7.8,13,2.8,20,20,27,7.6,8.7,12,23,51,52,45,45,35,31,27,15,99,98,74,73,87690,83898,85450,95564,-4.3,1.8,12,1095,960,1031,1215,1387,1452,1402,1370,1558,1900,2134,2603,2786,2801,2647,2703,501,484,557,562,655,656,608,547,555,570,632,695,710,704,665,654,14,15,13,17,13,16,13,12,9.4,10,9.5,11,12,9.9,9.4,10,61,75,62,66,60,58,47,54,50,53,51,55,61,66,75,72
Cluster 25,19,14,17,13,18,28,13,21,18,16,8.7,8.1,9.4,7.7,56,65,61,73,44,29,21,7.8,98,98,69,72,65004,84050,89673,137627,29,6.7,53,4306,4086,4609,5558,6324,6400,5889,5736,6024,6907,7524,7915,7853,7660,6982,6957,2159,2148,2182,2268,2291,2209,1959,1668,1525,1617,1656,1679,1632,1490,1471,1360,22,22,21,22,19,17,18,17,16,15,12,14,13,12,11,13,63,80,70,73,82,70,68,61,60,56,48,55,69,70,74,66
Cluster 26,16,10,13,8.2,16,21,9.3,13,17,5.4,4.9,4.5,4.8,5.5,63,63,63,64,33,21,14,7.6,98,98,75,80,87350,117819,131428,203029,35,12,54,1324,1090,956,899,936,910,903,931,1034,1146,1296,1385,1369,1627,1516,1438,484,522,472,447,492,467,376,352,368,405,445,420,471,675,646,573,11,13,13,12,8.7,9.3,8.4,8.7,9.5,9.7,7.3,5.8,7.1,6,6.2,7.2,52,70,55,48,45,42,35,43,48,47,38,39,47,54,56,55
Cluster 27,43,42,50,24,56,67,51,56,62,31,16,15,22,9.6,43,51,36,68,62,46,44,9.3,92,99,30,61,37171,43360,37779,112643,17,-13,198,2003,1882,1774,1808,1553,1200,1115,1034,1072,1101,1211,1407,1483,1593,1528,1497,1142,1144,1002,996,892,724,609,554,529,507,500,522,534,532,529,467,40,37,39,36,25,22,16,17,15,14,13,10,11,11,7.4,13,135,149,117,83,73,60,66,58,51,55,51,53,59,67,70,76
Cluster 28,32,33,38,46,44,50,64,33,30,19,11,14,22,21,53,51,45,43,44,48,33,19,96,94,49,54,45733,44635,39636,40831,-2.4,-11,3,2050,1993,2211,2471,2742,2779,2778,2729,2940,3384,3677,4049,4352,4533,4416,4770,1370,1374,1485,1685,1840,1753,1677,1511,1511,1582,1573,1543,1643,1615,1658,1673,24,23,25,24,19,21,22,31,30,16,25,25,24,22,22,19,45,47,44,44,47,36,38,49,38,48,38,47,47,54,59,57
Cluster 29,38,9.8,28,43,5.5,43,68,21,13,5.8,16,8.8,21,36,42,57,44,33,46,32,31,26,96,100,65,58,58809,85127,55983,44941,45,-34,-20,869,824,895,922,975,1086,1092,1041,1099,1303,1408,1557,1603,1646,1592,1625,506,513,594,585,605,627,617,652,644,734,758,752,771,776,715,695,20,20,26,24,21,36,17,19,26,22,13,17,17,26,36,17,37,47,37,98,56,42,34,58,52,53,57,37,57,42,61,41
Cluster 30,24,23,29,31,35,35,45,14,32,19,8.4,8.9,14,19,54,56,47,50,50,44,33,22,98,99,58,47,47472,49502,42978,36556,4.3,-13,-15,1811,1650,1692,1739,1888,2004,2083,2104,2074,2241,2539,2799,2947,3115,3189,3391,975,933,958,933,966,1013,992,1070,1021,1023,1081,1095,1192,1187,1209,1231,19,22,18,21,19,21,17,18,22,25,21,24,20,25,26,21,47,64,51,64,53,45,44,62,64,54,47,42,39,45,49,45
Cluster 31,29,28,29,27,41,40,33,25,22,20,15,11,17,20,48,50,38,46,51,44,35,20,94,97,58,61,52642,52492,52080,59221,-0.3,-0.8,14,4414,4243,4282,4502,4591,5010,5179,5025,5148,5822,6232,6753,7035,7305,7207,7602,2626,2615,2716,2704,2667,2840,2819,2686,2642,2799,2818,2782,2764,2765,2725,2784,23,24,22,23,18,22,18,20,25,27,27,22,20,28,27,23,53,52,55,75,52,41,44,59,72,62,64,67,50,51,62,53
Cluster 32,20,19,25,31,30,36,48,21,17,14,8.1,7.7,13,23,60,59,48,45,43,38,30,18,96,96,57,52,53799,54481,48887,54878,1.3,-10,12,3028,3066,3089,3319,3647,3745,3916,3831,4111,4901,5276,6040,6451,6689,6422,6636,1934,2005,2009,1894,2045,2047,1983,1872,1880,2145,2092,2177,2279,2263,2152,2205,20,21,20,20,19,16,14,17,16,16,18,17,20,23,25,20,49,47,56,58,47,37,30,33,48,37,37,37,47,49,58,55
Cluster 33,25,23,33,27,36,48,38,19,21,16,8.7,11,18,21,58,54,44,49,46,39,33,16,95,95,55,61,54437,55028,52133,49491,1.1,-5.3,-5.1,4209,4219,4382,4571,4671,4845,4882,4759,4836,5712,6717,7481,7856,8377,8049,8149,2644,2819,2933,2771,2831,2789,2706,2574,2575,2799,2939,3131,3112,3207,3155,3041,20,20,20,17,16,17,16,14,16,18,17,15,14,20,18,16,39,41,50,55,39,30,29,37,42,29,32,35,37,39,45,37
Cluster 34,14,10,16,21,14,20,31,16,13,14,5.4,6.4,13,18,64,65,51,50,34,28,25,14,97,97,69,69,69539,77001,77239,68272,11,0.3,-12,2143,2057,2313,2674,2768,3097,3281,3417,3654,4256,5007,5818,6329,6583,6396,6654,1248,1244,1374,1450,1500,1556,1546,1543,1548,1709,1777,1875,2046,2096,2128,2139,16,18,18,15,13,13,15,16,14,13,13,13,17,18,16,15,49,54,57,59,43,35,34,47,45,45,36,37,48,47,52,43
Cluster 35,9.8,11,15,14,19,27,13,11,11,19,4.2,3.4,7.8,11,67,69,58,57,27,19,18,9.9,97,97,68,74,75969,80753,77872,80629,6.3,-3.6,3.5,812,800,882,940,1004,1092,1037,1002,1047,1430,1706,2098,2349,2462,2389,2428,440,474,511,455,477,515,507,477,476,596,638,759,770,775,828,761,14,17,14,13,15,14,12,15,13,9.7,13,12,14,11,12,8.8,49,60,62,81,50,41,37,45,36,39,35,38,52,46,49,42
Cluster 36,27,35,47,54,48,61,70,28,42,47,7.5,15,22,29,58,44,41,31,45,42,35,21,95,94,46,44,43201,41655,37759,41374,-3.6,-9.4,9.6,2468,2401,2423,2631,2831,2751,2639,2581,2767,3155,3557,4059,4446,4589,4373,4438,1566,1741,1773,1693,1746,1650,1468,1435,1587,1750,1835,1870,1968,1965,1948,1886,27,29,29,26,29,26,23,20,17,17,16,18,21,20,16,15,27,27,36,43,37,29,24,28,24,25,28,30,36,34,33,30
Cluster 37,30,34,46,39,49,59,52,19,25,26,12,14,26,19,53,53,39,46,53,47,40,23,97,96,44,44,43585,41880,31957,37860,-3.9,-24,18,4216,3846,4012,4352,4476,4644,4439,4337,4522,4876,5257,5771,6101,6462,6208,6328,2875,2831,2752,2779,2861,2858,2703,2567,2598,2732,2668,2797,2881,2973,2899,2693,25,24,26,26,25,21,24,28,24,24,22,25,29,23,21,20,34,38,35,40,32,38,32,44,43,47,41,49,51,45,36,47
Cluster 38,40,35,46,38,46,56,46,42,31,33,12,16,28,22,56,51,38,40,46,46,44,21,97,94,43,49,39042,39479,36226,37961,1.1,-8.2,4.8,3709,3219,2860,2942,3221,3303,3245,3369,3242,3775,4297,4858,5226,5381,5209,5311,2563,2374,2148,2136,2219,2242,2096,2067,1902,2115,2052,2096,2216,2236,2184,2064,21,18,19,19,14,19,19,18,15,18,20,15,21,20,18,19,29,27,32,33,32,32,33,40,38,39,40,30,39,42,41,41
Cluster 39,26,27,34,37,39,46,52,19,18,23,11,13,20,31,61,59,45,42,39,39,33,17,94,95,54,53,47493,47805,47873,44741,0.7,0.1,-6.5,10858,10081,10413,11126,11392,11020,10882,10958,11988,14159,16217,17929,18932,19682,19872,20389,7258,6991,7153,7364,7267,6831,6125,6080,6543,7030,7427,7569,7613,7766,7928,7641,26,26,26,26,21,21,19,24,24,23,22,22,20,21,17,17,36,43,45,43,39,38,41,49,50,48,48,42,37,40,36,33
Non-cluster area,9.8,11,15,24,12,7.2,18,18,0,23,8,11,21,15,45,47,63,56,35,22,15,7.2,99,89,94,71,57663,67456,73946,75825,17,9.6,2.5,188,199,295,324,318,389,601,766,606,604,649,650,658,669,661,622,69,119,196,222,194,199,178,270,127,79,87,88,108,109,98,81,9.3,8.1,8.4,8.8,8.3,7,6.5,10,9.4,10,8.8,9.4,8.4,9.1,6.5,8.6,66,66,52,52,37,43,35,47,50,42,41,45,46,50,57,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
