census_tract,acs_remove_state_county,dc_tract_code,prescat_code
11001009906,009906,99.06,Tract 99.06
11001009907,009907,99.07,Tract 99.07
11001010100,010100,101,Tract 101
11001010200,010200,102,Tract 102
11001010300,010300,103,Tract 103
11001010400,010400,104,Tract 104
11001010500,010500,105,Tract 105
11001010600,010600,106,Tract 106
11001010700,010700,107,Tract 107
11001010800,010800,108,Tract 108
11001010900,010900,109,Tract 109
11001011000,011000,110,Tract 110
11001011100,011100,111,Tract 111
