ward,building_count,total_subsidized_units
"Ward 8",94,11642
"Ward 4",21,900
"Ward 6",57,6897
"Ward 5",39,4627
"Ward 3",4,392
"Ward 7",51,6669
"Ward 2",22,2479
"Ward 1",74,4849
