"Census Tract 14.01, District of Columbia, District of Columbia",1602
"Census Tract 4, District of Columbia, District of Columbia",1607
"Census Tract 3, District of Columbia, District of Columbia",1610
"Census Tract 42.02, District of Columbia, District of Columbia",1610
"Census Tract 101, District of Columbia, District of Columbia",1614
"Census Tract 7.01, District of Columbia, District of Columbia",1618
"Census Tract 81, District of Columbia, District of Columbia",1620
"Census Tract 110, District of Columbia, District of Columbia",1628
"Census Tract 108, District of Columbia, District of Columbia",1635
"Census Tract 22.01, District of Columbia, District of Columbia",1639
"Census Tract 55, District of Columbia, District of Columbia",1640
"Census Tract 5.02, District of Columbia, District of Columbia",1649
"Census Tract 12, District of Columbia, District of Columbia",1651
"Census Tract 66, District of Columbia, District of Columbia",1656
"Census Tract 40.02, District of Columbia, District of Columbia",1664
"Census Tract 17.02, District of Columbia, District of Columbia",1677
"Census Tract 8.01, District of Columbia, District of Columbia",1678
"Census Tract 23.02, District of Columbia, District of Columbia",1684
"Census Tract 6, District of Columbia, District of Columbia",1695
"Census Tract 67, District of Columbia, District of Columbia",1700
"Census Tract 3, District of Columbia, District of Columbia",1716
"Census Tract 102, District of Columbia, District of Columbia",1716
"Census Tract 10.02, District of Columbia, District of Columbia",1726
"Census Tract 11, District of Columbia, District of Columbia",1741
"Census Tract 42.01, District of Columbia, District of Columbia",1748
"Census Tract 5.01, District of Columbia, District of Columbia",1756
"Census Tract 53.01, District of Columbia, District of Columbia",1761
"Census Tract 50.01, District of Columbia, District of Columbia",1764
"Census Tract 40.01, District of Columbia, District of Columbia",1788
"Census Tract 52.01, District of Columbia, District of Columbia",1790
"Census Tract 13.02, District of Columbia, District of Columbia",1797
"Census Tract 56, District of Columbia, District of Columbia",1799
"Census Tract 83.02, District of Columbia, District of Columbia",1840
"Census Tract 65, District of Columbia, District of Columbia",1857
"Census Tract 41, District of Columbia, District of Columbia",1931
"Census Tract 13.01, District of Columbia, District of Columbia",1945
"Census Tract 1, District of Columbia, District of Columbia",1973
"Census Tract 55, District of Columbia, District of Columbia",1982
"Census Tract 15, District of Columbia, District of Columbia",1984
"Census Tract 107, District of Columbia, District of Columbia",1998
"Census Tract 83.01, District of Columbia, District of Columbia",1998
